,Player,Season,Team,Tournament-fullname,Tournament,Apps,Mins,Total_Shots,OutOfBox,SixYardBox,PenaltyArea,Rating
49,Konstantin Rausch,2014/2015,VfB Stuttgart,Germany-Bundesliga,GB,4,72,1,1,-,-,6.11
50,Konstantin Rausch,2013/2014,VfB Stuttgart,Germany-Bundesliga,GB,21,1496,24,19,-,5,6.67
51,Konstantin Rausch,2012/2013,Hannover 96,Germany-Bundesliga,GB,30,2340,18,10,-,8,6.83
52,Konstantin Rausch,2012/2013,Hannover 96,Europe-UEFA-Europa-League,UEL,7,465,1,1,-,-,6.76
53,Konstantin Rausch,2011/2012,Hannover 96,Germany-Bundesliga,GB,33,2085,35,22,-,13,6.64
54,Konstantin Rausch,2010/2011,Hannover 96,Germany-Bundesliga,GB,34,2844,54,33,-,21,6.77
55,Konstantin Rausch,2009/2010,Hannover 96,Germany-Bundesliga,GB,26,1702,7,6,-,1,6.41
56,Aníbal Godoy,2018,San Jose Eart..,USA-Major-League-Soccer,UMLS,12,1080,6,4,-,2,7.14
57,Aníbal Godoy,2017,San Jose Eart..,USA-Major-League-Soccer,UMLS,27,2224,22,17,2,3,6.9
58,Aníbal Godoy,2016,San Jose Eart..,USA-Major-League-Soccer,UMLS,23,1941,28,20,1,7,6.98
59,Aníbal Godoy,2015,San Jose Eart..,USA-Major-League-Soccer,UMLS,10,894,14,9,2,3,7.24
60,Aaron Mooy,2017/2018,Huddersfield,England-Premier-League,EPL,36,3071,29,18,1,10,6.86
61,Aaron Mooy,2016/2017,Huddersfield,England-Championship,EC,48,4101,67,51,1,15,7.07
62,Koke,2011/2012,Rayo Vallecan..,Spain-La-Liga,SLL,5,131,2,1,-,1,6.25
63,Tomi Juric,2015/2016,Roda,Netherlands-Eredivisie,NE,17,1012,30,7,4,19,6.52
64,Moon Seon-min,2016,Djurgaarden,Sweden-Allsvenskan,SA,10,543,12,4,-,8,6.63
65,Phil Jones,2017/2018,Manchester Un..,England-Premier-League,EPL,23,1975,2,1,1,-,7.21
66,Phil Jones,2016/2017,Manchester Un..,England-Premier-League,EPL,18,1585,3,-,1,2,7.21
67,Phil Jones,2016/2017,Manchester Un..,Europe-UEFA-Europa-League,UEL,3,206,-,-,-,-,6.88
68,Phil Jones,2015/2016,Manchester Un..,Europe-UEFA-Champions-League,UCL,2,108,-,-,-,-,6.59
69,Phil Jones,2015/2016,Manchester Un..,England-Premier-League,EPL,10,529,1,-,-,1,6.68
70,Phil Jones,2014/2015,Manchester Un..,England-Premier-League,EPL,22,1879,3,-,1,2,7.51
71,Phil Jones,2013/2014,Manchester Un..,Europe-UEFA-Champions-League,UCL,8,542,7,1,1,5,7.41
72,Phil Jones,2013/2014,Manchester Un..,England-Premier-League,EPL,26,2174,12,5,-,7,7.26
73,Phil Jones,2014,England,International-FIFA-World-Cup,WC,1,90,-,-,-,-,6.96
74,Phil Jones,2012/2013,Manchester Un..,Europe-UEFA-Champions-League,UCL,3,270,2,1,-,1,7.28
75,Phil Jones,2012/2013,Manchester Un..,England-Premier-League,EPL,17,1206,11,1,1,9,6.81
76,Phil Jones,2011/2012,Manchester Un..,Europe-UEFA-Champions-League,UCL,6,386,3,-,-,4,7.2
77,Phil Jones,2011/2012,Manchester Un..,England-Premier-League,EPL,29,2124,25,6,3,16,7.18
78,Phil Jones,2010/2011,Blackburn,England-Premier-League,EPL,26,2176,18,9,1,8,6.98
79,Phil Jones,2009/2010,Blackburn,England-Premier-League,EPL,9,662,5,1,2,2,7.24
80,Gaku Shibasaki,2017/2018,Getafe,Spain-La-Liga,SLL,22,1004,10,5,1,4,6.4
81,Kalidou Koulibaly,2017/2018,Napoli,Italy-Serie-A,ISA,35,3066,17,1,4,12,7.04
82,Kalidou Koulibaly,2017/2018,Napoli,Europe-UEFA-Europa-League,UEL,1,90,-,-,-,-,6.92
83,Kalidou Koulibaly,2017/2018,Napoli,Europe-UEFA-Champions-League,UCL,5,450,1,-,-,1,6.75
84,Kalidou Koulibaly,2016/2017,Napoli,Italy-Serie-A,ISA,28,2472,10,2,3,5,7.22
85,Kalidou Koulibaly,2016/2017,Napoli,Europe-UEFA-Champions-League,UCL,8,720,3,-,1,2,6.68
86,Kalidou Koulibaly,2015/2016,Napoli,Italy-Serie-A,ISA,33,2888,5,-,2,3,7.19
87,Kalidou Koulibaly,2015/2016,Napoli,Europe-UEFA-Europa-League,UEL,7,608,3,-,1,2,7.67
88,Kalidou Koulibaly,2014/2015,Napoli,Italy-Serie-A,ISA,27,2424,10,2,-,8,7.13
89,Kalidou Koulibaly,2014/2015,Napoli,Europe-UEFA-Europa-League,UEL,7,549,3,1,1,1,7.32
90,Kalidou Koulibaly,2013/2014,Genk,Europe-UEFA-Europa-League,UEL,7,609,2,2,-,-,7.09
91,Kalidou Koulibaly,2012/2013,Genk,Europe-UEFA-Europa-League,UEL,7,630,1,-,-,1,7.07
92,Amr Warda,2016/2017,PAOK Thessalo..,Europe-UEFA-Europa-League,UEL,2,74,3,3,-,-,6.21
93,Roman Zobnin,2017/2018,Spartak Mosco..,Europe-UEFA-Europa-League,UEL,2,180,1,-,-,1,6.88
94,Roman Zobnin,2017/2018,Spartak Mosco..,Europe-UEFA-Champions-League,UCL,2,107,1,1,-,-,6.27
95,Roman Zobnin,2017/2018,Spartak Mosco..,Russia-Premier-League,RPL,14,1006,20,10,1,9,6.85
96,Roman Zobnin,2016/2017,Spartak Mosco..,Russia-Premier-League,RPL,29,2488,41,10,4,27,7.05
97,Roman Zobnin,2015/2016,Dinamo Moscow,Russia-Premier-League,RPL,29,2241,33,15,1,17,6.77
98,Roman Zobnin,2014/2015,Dinamo Moscow,Europe-UEFA-Europa-League,UEL,1,46,-,-,-,-,5.37
99,Roman Zobnin,2014/2015,Dinamo Moscow,Russia-Premier-League,RPL,15,594,6,2,-,4,6.43
100,Roman Zobnin,2013/2014,Dinamo Moscow,Russia-Premier-League,RPL,4,94,-,-,-,-,5.97
101,Lukas Lerager,2017/2018,Bordeaux,France-Ligue-1,FL1,37,3286,41,14,6,21,6.94
102,Viktor Fischer,2017/2018,Mainz 05,Germany-Bundesliga,GB,10,331,7,2,-,5,6.17
103,Viktor Fischer,2017/2018,FC Copenhagen,Europe-UEFA-Europa-League,UEL,2,118,2,-,1,1,6.97
104,Viktor Fischer,2016/2017,Middlesbrough,England-Premier-League,EPL,13,439,12,3,-,9,6.37
105,Viktor Fischer,2015/2016,Ajax,Europe-UEFA-Europa-League,UEL,6,428,14,8,1,5,6.96
106,Viktor Fischer,2015/2016,Ajax,Netherlands-Eredivisie,NE,28,1191,41,10,5,26,6.8
107,Viktor Fischer,2015,Denmark U21,International-EURO-U-21,IEU,4,142,3,1,-,2,6.31
108,Viktor Fischer,2014/2015,Ajax,Netherlands-Eredivisie,NE,4,217,10,4,1,5,7.21
109,Viktor Fischer,2013/2014,Ajax,Europe-UEFA-Champions-League,UCL,5,361,12,8,-,4,6.53
110,Viktor Fischer,2013/2014,Ajax,Europe-UEFA-Europa-League,UEL,1,90,2,-,-,2,5.93
111,Viktor Fischer,2013/2014,Ajax,Netherlands-Eredivisie,NE,24,1636,63,22,6,35,7.0
112,Viktor Fischer,2012/2013,Ajax,Europe-UEFA-Europa-League,UEL,2,172,3,2,1,-,6.54
113,Viktor Fischer,2012/2013,Ajax,Europe-UEFA-Champions-League,UCL,3,97,5,-,-,5,6.27
114,Miguel Camargo,2017,New York City..,USA-Major-League-Soccer,UMLS,8,176,3,2,1,-,6.32
115,Wílmar Barrios,2017/2018,Boca Juniors,Argentina-Primera-División,APD,23,1991,5,3,-,2,7.36
116,Wílmar Barrios,2016/2017,Boca Juniors,Argentina-Primera-División,APD,19,1072,2,1,-,1,6.99
117,Bernardo Silva,2017/2018,Manchester Ci..,Europe-UEFA-Champions-League,UCL,9,563,10,3,-,7,7.2
118,Bernardo Silva,2017/2018,Manchester Ci..,England-Premier-League,EPL,35,1520,25,4,2,19,6.79
119,Bernardo Silva,2016/2017,Monaco,Europe-UEFA-Champions-League,UCL,11,921,12,5,-,7,6.97
120,Bernardo Silva,2016/2017,Monaco,France-Ligue-1,FL1,37,2800,60,21,2,37,7.29
121,Bernardo Silva,2015/2016,Monaco,Europe-UEFA-Europa-League,UEL,6,481,6,2,-,4,6.64
122,Bernardo Silva,2015/2016,Monaco,France-Ligue-1,FL1,32,2240,41,10,2,29,7.0
123,Bernardo Silva,2015,Portugal U21,International-EURO-U-21,IEU,5,398,5,1,-,4,7.68
124,Bernardo Silva,2014/2015,Monaco,Europe-UEFA-Champions-League,UCL,7,197,3,2,-,1,6.58
125,Bernardo Silva,2014/2015,Monaco,France-Ligue-1,FL1,32,2287,34,6,5,23,7.23
126,Paweł Dawidowicz,2016/2017,Bochum,Germany-Bundesliga-II,GB2,17,1049,7,1,3,3,6.63
127,Álvaro Odriozola,2017/2018,Real Sociedad,Spain-La-Liga,SLL,35,2918,8,3,-,5,6.53
128,Álvaro Odriozola,2017/2018,Real Sociedad,Europe-UEFA-Europa-League,UEL,6,540,1,-,-,1,7.18
129,Álvaro Odriozola,2016/2017,Real Sociedad,Spain-La-Liga,SLL,15,1285,1,1,-,-,6.61
130,Lucas Hernández,2017/2018,Atletico Madr..,Spain-La-Liga,SLL,27,2117,7,2,1,4,7.24
131,Lucas Hernández,2017/2018,Atletico Madr..,Europe-UEFA-Europa-League,UEL,8,614,3,2,-,1,7.06
132,Lucas Hernández,2017/2018,Atletico Madr..,Europe-UEFA-Champions-League,UCL,3,270,-,-,-,-,6.67
133,Lucas Hernández,2016/2017,Atletico Madr..,Spain-La-Liga,SLL,15,1253,1,-,1,-,7.04
134,Lucas Hernández,2016/2017,Atletico Madr..,Europe-UEFA-Champions-League,UCL,4,305,-,-,-,-,6.92
135,Lucas Hernández,2015/2016,Atletico Madr..,Spain-La-Liga,SLL,10,834,-,-,-,-,7.04
136,Lucas Hernández,2015/2016,Atletico Madr..,Europe-UEFA-Champions-League,UCL,3,181,-,-,-,-,6.59
137,Lucas Hernández,2014/2015,Atletico Madr..,Spain-La-Liga,SLL,1,2,-,-,-,-,6.0
138,Thomas Lemar,2017/2018,Monaco,Europe-UEFA-Champions-League,UCL,3,178,2,1,-,1,6.62
139,Thomas Lemar,2017/2018,Monaco,France-Ligue-1,FL1,30,2383,47,35,1,11,7.1
140,Thomas Lemar,2016/2017,Monaco,Europe-UEFA-Champions-League,UCL,12,895,16,8,1,7,7.23
141,Thomas Lemar,2016/2017,Monaco,France-Ligue-1,FL1,34,2612,58,39,4,15,7.48
142,Thomas Lemar,2015/2016,Monaco,Europe-UEFA-Europa-League,UEL,4,199,2,1,-,1,6.81
143,Thomas Lemar,2015/2016,Monaco,France-Ligue-1,FL1,26,1810,36,24,1,11,7.12
144,Thomas Lemar,2014/2015,Caen,France-Ligue-1,FL1,25,716,15,11,-,4,6.55
145,Jan Bednarek,2017/2018,Southampton,England-Premier-League,EPL,5,428,1,-,-,1,6.67
146,Maxi Gómez,2017/2018,Celta Vigo,Spain-La-Liga,SLL,36,3078,83,10,14,59,6.95
147,Chidozie Awaziem,2017/2018,Nantes,France-Ligue-1,FL1,22,1510,13,4,-,9,6.7
148,Youri Tielemans,2017/2018,Monaco,Europe-UEFA-Champions-League,UCL,4,311,5,1,3,1,6.79
149,Youri Tielemans,2017/2018,Monaco,France-Ligue-1,FL1,27,1567,25,16,-,9,6.84
150,Youri Tielemans,2016/2017,Anderlecht,Europe-UEFA-Europa-League,UEL,11,917,11,8,-,3,7.33
151,Youri Tielemans,2015/2016,Anderlecht,Europe-UEFA-Europa-League,UEL,9,496,7,6,-,1,6.49
152,Youri Tielemans,2014/2015,Anderlecht,Europe-UEFA-Champions-League,UCL,6,471,8,7,-,1,7.02
153,Youri Tielemans,2014/2015,Anderlecht,Europe-UEFA-Europa-League,UEL,2,161,6,4,-,2,6.71
154,Youri Tielemans,2013/2014,Anderlecht,Europe-UEFA-Champions-League,UCL,4,190,3,3,-,-,5.9
155,Federico Valverde,2017/2018,Deportivo La ..,Spain-La-Liga,SLL,24,1230,18,12,-,6,6.32
156,Achraf Hakimi,2017/2018,Real Madrid,Spain-La-Liga,SLL,9,757,3,-,-,3,7.34
157,Achraf Hakimi,2017/2018,Real Madrid,Europe-UEFA-Champions-League,UCL,2,180,-,-,-,-,6.29
158,Nikola Milenković,2017/2018,Fiorentina,Italy-Serie-A,ISA,16,1254,9,3,-,6,6.84
159,Milan Rodić,2017/2018,FK Crvena Zve..,Europe-UEFA-Europa-League,UEL,6,530,5,2,-,3,7.0
160,Milan Rodić,2016/2017,Krylya Soveto..,Russia-Premier-League,RPL,16,1259,12,1,2,9,6.69
161,Milan Rodić,2015/2016,Krylya Soveto..,Russia-Premier-League,RPL,16,870,11,3,-,8,6.5
162,Milan Rodić,2014/2015,Zenit St. Pet..,Europe-UEFA-Europa-League,UEL,1,65,-,-,-,-,7.53
163,Milan Rodić,2014/2015,Zenit St. Pet..,Russia-Premier-League,RPL,1,1,-,-,-,-,6.0
164,Milan Rodić,2013/2014,Volga Nyzhny,Russia-Premier-League,RPL,18,1421,6,2,-,4,6.96
165,Milan Rodić,2012/2013,Zenit St. Pet..,Europe-UEFA-Europa-League,UEL,2,95,-,-,-,-,6.76
166,Ola Aina,2017/2018,Hull,England-Championship,EC,44,3823,35,25,-,10,7.09
167,Ola Aina,2016/2017,Chelsea,England-Premier-League,EPL,3,25,1,-,-,1,6.12
168,Pepe,2017/2018,Besiktas,Turkey-Super-Lig,TS,23,2041,17,-,4,13,7.11
169,Pepe,2017/2018,Besiktas,Europe-UEFA-Champions-League,UCL,6,540,3,1,-,2,7.25
170,Pepe,2016/2017,Real Madrid,Spain-La-Liga,SLL,13,1081,5,-,1,4,7.22
171,Pepe,2016/2017,Real Madrid,Europe-UEFA-Champions-League,UCL,3,199,-,-,-,-,6.71
172,Pepe,2015/2016,Real Madrid,Spain-La-Liga,SLL,21,1887,12,1,-,11,7.27
173,Pepe,2015/2016,Real Madrid,Europe-UEFA-Champions-League,UCL,9,728,3,-,2,1,7.12
174,Pepe,2014/2015,Real Madrid,Spain-La-Liga,SLL,27,2225,12,2,1,9,7.2
175,Pepe,2014/2015,Real Madrid,Europe-UEFA-Champions-League,UCL,6,540,3,-,-,3,7.5
176,Pepe,2016,Portugal,International-European-Championship,UEC,6,540,3,-,-,3,6.84
177,Pepe,2013/2014,Real Madrid,Spain-La-Liga,SLL,30,2700,17,2,2,13,7.42
178,Pepe,2013/2014,Real Madrid,Europe-UEFA-Champions-League,UCL,11,973,3,-,-,3,7.53
179,Pepe,2014,Portugal,International-FIFA-World-Cup,WC,2,127,-,-,-,-,6.16
180,Pepe,2012/2013,Real Madrid,Spain-La-Liga,SLL,28,2345,19,4,4,11,7.04
181,Pepe,2012/2013,Real Madrid,Europe-UEFA-Champions-League,UCL,11,726,3,-,1,2,6.51
182,Pepe,2012,Portugal,International-European-Championship,UEC,5,450,2,-,-,2,7.39
183,Pepe,2011/2012,Real Madrid,Spain-La-Liga,SLL,29,2550,14,1,5,8,7.21
184,Pepe,2011/2012,Real Madrid,Europe-UEFA-Champions-League,UCL,9,810,-,-,-,-,7.11
185,Pepe,2010/2011,Real Madrid,Spain-La-Liga,SLL,26,2225,6,2,2,2,7.32
186,Pepe,2010/2011,Real Madrid,Europe-UEFA-Champions-League,UCL,8,681,6,-,3,3,6.89
187,Pepe,2009/2010,Real Madrid,Spain-La-Liga,SLL,10,856,5,1,-,4,7.47
188,Pepe,2009/2010,Real Madrid,Europe-UEFA-Champions-League,UCL,6,540,3,-,1,2,7.29
189,Ólafur Ingi Skúlason,2017/2018,Karabukspor,Turkey-Super-Lig,TS,16,1128,4,2,-,2,6.28
190,Ólafur Ingi Skúlason,2016/2017,Karabukspor,Turkey-Super-Lig,TS,25,1650,10,2,1,7,6.4
191,Ólafur Ingi Skúlason,2015/2016,Genclerbirlig..,Turkey-Super-Lig,TS,25,1882,11,6,-,5,6.65
192,Ólafur Ingi Skúlason,2013/2014,Zulte-Waregem,Europe-UEFA-Europa-League,UEL,4,350,2,-,1,1,6.41
193,Javier Mascherano,2018,Hebei CFFC,China-Super-league,CSl,10,900,10,7,-,3,7.03
194,Javier Mascherano,2017/2018,Barcelona,Spain-La-Liga,SLL,7,541,-,-,-,-,7.18
195,Javier Mascherano,2017/2018,Barcelona,Europe-UEFA-Champions-League,UCL,2,135,-,-,-,-,6.6
196,Javier Mascherano,2016/2017,Barcelona,Spain-La-Liga,SLL,25,1917,10,2,1,7,6.83
197,Javier Mascherano,2016/2017,Barcelona,Europe-UEFA-Champions-League,UCL,8,642,2,1,-,1,7.17
198,Javier Mascherano,2015/2016,Barcelona,Spain-La-Liga,SLL,32,2694,3,2,-,1,7.01
199,Javier Mascherano,2015/2016,Barcelona,Europe-UEFA-Champions-League,UCL,8,655,2,2,-,-,7.18
200,Javier Mascherano,2015,Argentina,International-Copa-America,ICA,6,527,1,1,-,-,6.85
201,Javier Mascherano,2014/2015,Barcelona,Spain-La-Liga,SLL,28,2208,2,2,-,-,7.12
202,Javier Mascherano,2014/2015,Barcelona,Europe-UEFA-Champions-League,UCL,12,1079,1,1,-,-,7.14
203,Javier Mascherano,2013/2014,Barcelona,Spain-La-Liga,SLL,28,2367,3,2,-,1,7.14
204,Javier Mascherano,2013/2014,Barcelona,Europe-UEFA-Champions-League,UCL,9,810,-,-,-,-,7.15
205,Javier Mascherano,2014,Argentina,International-FIFA-World-Cup,WC,7,630,3,3,-,-,7.42
206,Javier Mascherano,2012/2013,Barcelona,Spain-La-Liga,SLL,25,1931,2,-,-,2,6.84
207,Javier Mascherano,2012/2013,Barcelona,Europe-UEFA-Champions-League,UCL,8,613,-,-,-,-,6.98
208,Javier Mascherano,2011/2012,Barcelona,Spain-La-Liga,SLL,31,2738,3,3,-,-,7.42
209,Javier Mascherano,2011/2012,Barcelona,Europe-UEFA-Champions-League,UCL,10,900,2,2,-,-,7.06
210,Javier Mascherano,2010/2011,Barcelona,Spain-La-Liga,SLL,27,1538,8,8,-,-,6.96
211,Javier Mascherano,2010/2011,Barcelona,Europe-UEFA-Champions-League,UCL,11,880,1,-,-,1,7.3
212,Javier Mascherano,2010/2011,Liverpool,England-Premier-League,EPL,1,79,-,-,-,-,8.01
213,Javier Mascherano,2009/2010,Liverpool,Europe-UEFA-Champions-League,UCL,5,358,4,4,-,-,7.43
214,Javier Mascherano,2009/2010,Liverpool,England-Premier-League,EPL,34,2756,27,27,-,-,7.26
215,Ricardo Quaresma,2017/2018,Besiktas,Turkey-Super-Lig,TS,26,2000,73,29,2,42,7.51
216,Ricardo Quaresma,2017/2018,Besiktas,Europe-UEFA-Champions-League,UCL,7,613,15,5,-,10,6.99
217,Ricardo Quaresma,2016/2017,Besiktas,Turkey-Super-Lig,TS,29,2285,76,46,-,30,7.29
218,Ricardo Quaresma,2016/2017,Besiktas,Europe-UEFA-Champions-League,UCL,6,520,12,3,-,9,6.88
219,Ricardo Quaresma,2016/2017,Besiktas,Europe-UEFA-Europa-League,UEL,5,413,15,12,-,3,7.08
220,Ricardo Quaresma,2015/2016,Besiktas,Turkey-Super-Lig,TS,26,1710,47,26,-,21,7.04
221,Ricardo Quaresma,2015/2016,Besiktas,Europe-UEFA-Europa-League,UEL,6,418,11,5,-,6,7.12
222,Ricardo Quaresma,2014/2015,FC Porto,Europe-UEFA-Champions-League,UCL,9,471,12,6,-,6,6.96
223,Ricardo Quaresma,2016,Portugal,International-European-Championship,UEC,7,196,5,3,-,2,6.45
224,Ricardo Quaresma,2013/2014,FC Porto,Europe-UEFA-Europa-League,UEL,6,531,27,19,-,8,7.92
225,Ricardo Quaresma,2009/2010,Inter,Italy-Serie-A,ISA,11,401,7,4,-,3,6.4
226,Ricardo Quaresma,2009/2010,Inter,Europe-UEFA-Champions-League,UCL,2,34,1,1,-,-,6.38
227,Karim El Ahmadi,2017/2018,Feyenoord,Europe-UEFA-Champions-League,UCL,4,360,4,4,-,-,6.06
228,Karim El Ahmadi,2017/2018,Feyenoord,Netherlands-Eredivisie,NE,31,2780,40,23,-,17,7.19
229,Karim El Ahmadi,2016/2017,Feyenoord,Netherlands-Eredivisie,NE,30,2653,32,21,-,11,7.38
230,Karim El Ahmadi,2016/2017,Feyenoord,Europe-UEFA-Europa-League,UEL,4,360,8,7,-,1,6.88
231,Karim El Ahmadi,2015/2016,Feyenoord,Netherlands-Eredivisie,NE,32,2826,27,16,-,11,6.9
232,Karim El Ahmadi,2014/2015,Feyenoord,Europe-UEFA-Europa-League,UEL,7,630,13,9,-,4,7.04
233,Karim El Ahmadi,2014/2015,Feyenoord,Netherlands-Eredivisie,NE,31,2723,54,34,4,16,6.95
234,Karim El Ahmadi,2013/2014,Aston Villa,England-Premier-League,EPL,31,2188,31,24,-,7,6.61
235,Karim El Ahmadi,2012/2013,Aston Villa,England-Premier-League,EPL,20,1169,12,10,-,2,6.48
236,Luka Modric,2017/2018,Real Madrid,Spain-La-Liga,SLL,26,1976,35,19,-,16,7.29
237,Luka Modric,2017/2018,Real Madrid,Europe-UEFA-Champions-League,UCL,11,958,9,5,-,4,7.02
238,Luka Modric,2016/2017,Real Madrid,Spain-La-Liga,SLL,25,1892,20,13,-,7,7.23
239,Luka Modric,2016/2017,Real Madrid,Europe-UEFA-Champions-League,UCL,11,953,12,11,-,1,7.23
240,Luka Modric,2015/2016,Real Madrid,Spain-La-Liga,SLL,32,2629,35,27,-,8,7.37
241,Luka Modric,2015/2016,Real Madrid,Europe-UEFA-Champions-League,UCL,12,873,7,4,-,3,7.09
242,Luka Modric,2014/2015,Real Madrid,Spain-La-Liga,SLL,16,1306,15,9,-,6,7.48
243,Luka Modric,2014/2015,Real Madrid,Europe-UEFA-Champions-League,UCL,6,449,7,6,-,1,7.26
244,Luka Modric,2016,Croatia,International-European-Championship,UEC,3,242,2,2,-,-,7.63
245,Luka Modric,2013/2014,Real Madrid,Spain-La-Liga,SLL,34,2651,38,28,1,9,7.31
246,Luka Modric,2013/2014,Real Madrid,Europe-UEFA-Champions-League,UCL,11,942,4,3,-,1,7.79
