,Player,Season,Team,Tournament-fullname,Tournament,Apps,Mins,Cross,Corner,Throughball,Freekick,Throwin,Other,Total_Assists,Rating
646,Nemanja Matić,2017/2018,Manchester Un..,England-Premier-League,EPL,36,3119,-,-,-,-,-,1,1,7.2
647,Nemanja Matić,2016/2017,Chelsea,England-Premier-League,EPL,35,2697,-,-,-,-,-,7,7,7.01
648,Nemanja Matić,2015/2016,Chelsea,Europe-UEFA-Champions-League,UCL,5,377,-,-,-,-,-,-,-,7.31
649,Nemanja Matić,2015/2016,Chelsea,England-Premier-League,EPL,33,2421,-,-,-,-,-,2,2,6.98
650,Nemanja Matić,2014/2015,Chelsea,Europe-UEFA-Champions-League,UCL,8,714,-,-,-,-,-,1,1,8.0
651,Nemanja Matić,2014/2015,Chelsea,England-Premier-League,EPL,36,3124,1,-,-,-,-,2,3,7.5
652,Nemanja Matić,2013/2014,Benfica,Europe-UEFA-Champions-League,UCL,6,540,-,-,-,-,-,-,-,6.84
653,Nemanja Matić,2013/2014,Chelsea,England-Premier-League,EPL,17,1364,-,-,1,-,-,3,4,7.63
654,Nemanja Matić,2012/2013,Benfica,Europe-UEFA-Europa-League,UEL,8,720,-,-,-,-,-,-,-,7.24
655,Nemanja Matić,2012/2013,Benfica,Europe-UEFA-Champions-League,UCL,5,437,-,-,-,-,-,-,-,6.81
656,Nemanja Matić,2011/2012,Benfica,Europe-UEFA-Champions-League,UCL,7,347,-,-,-,-,-,-,-,6.59
657,Nemanja Matić,2009/2010,Chelsea,England-Premier-League,EPL,2,40,-,-,-,-,-,-,-,6.47
658,Adem Ljajić,2017/2018,Torino,Italy-Serie-A,ISA,27,2155,4,3,1,2,-,4,10,7.21
659,Adem Ljajić,2016/2017,Torino,Italy-Serie-A,ISA,33,2521,3,-,1,4,-,3,8,7.18
660,Adem Ljajić,2015/2016,Inter,Italy-Serie-A,ISA,25,1445,-,-,-,-,-,3,3,6.82
661,Adem Ljajić,2015/2016,Roma,Italy-Serie-A,ISA,1,1,-,-,-,-,-,-,-,6.0
662,Adem Ljajić,2014/2015,Roma,Italy-Serie-A,ISA,32,2025,-,-,-,-,-,2,2,6.8
663,Adem Ljajić,2014/2015,Roma,Europe-UEFA-Champions-League,UCL,4,184,-,-,-,-,-,-,-,6.29
664,Adem Ljajić,2014/2015,Roma,Europe-UEFA-Europa-League,UEL,3,237,-,-,-,-,-,-,-,6.24
665,Adem Ljajić,2013/2014,Roma,Italy-Serie-A,ISA,28,1621,1,-,2,1,-,2,5,7.01
666,Adem Ljajić,2012/2013,Fiorentina,Italy-Serie-A,ISA,28,1628,-,-,-,-,-,8,8,7.3
667,Adem Ljajić,2011/2012,Fiorentina,Italy-Serie-A,ISA,15,659,1,-,-,-,-,-,1,6.33
668,Adem Ljajić,2010/2011,Fiorentina,Italy-Serie-A,ISA,26,1389,1,-,1,-,-,2,4,6.49
669,Adem Ljajić,2009/2010,Fiorentina,Italy-Serie-A,ISA,9,360,-,-,-,-,-,1,1,6.35
670,Luka Milivojević,2017/2018,Crystal Palac..,England-Premier-League,EPL,36,3082,-,-,-,-,-,1,1,7.01
671,Luka Milivojević,2016/2017,Crystal Palac..,England-Premier-League,EPL,14,1227,-,-,-,-,-,-,-,6.94
672,Luka Milivojević,2016/2017,Olympiacos,Europe-UEFA-Europa-League,UEL,4,343,-,-,-,-,-,1,1,7.08
673,Luka Milivojević,2015/2016,Olympiacos,Europe-UEFA-Europa-League,UEL,2,180,-,-,-,-,-,-,-,7.09
674,Luka Milivojević,2015/2016,Olympiacos,Europe-UEFA-Champions-League,UCL,4,360,-,-,-,-,-,-,-,6.7
675,Luka Milivojević,2014/2015,Olympiacos,Europe-UEFA-Champions-League,UCL,5,450,-,-,-,-,-,-,-,6.67
676,Luka Milivojević,2014/2015,Olympiacos,Europe-UEFA-Europa-League,UEL,2,84,-,-,1,-,-,-,1,6.08
677,Luka Milivojević,2013/2014,Anderlecht,Europe-UEFA-Champions-League,UCL,4,251,-,-,-,-,-,-,-,6.28
678,Mijat Gaćinović,2017/2018,Eintracht Fra..,Germany-Bundesliga,GB,29,1820,-,-,1,-,-,2,3,6.75
679,Mijat Gaćinović,2016/2017,Eintracht Fra..,Germany-Bundesliga,GB,28,2234,-,-,-,-,-,-,-,6.82
680,Mijat Gaćinović,2015/2016,Eintracht Fra..,Germany-Bundesliga,GB,7,330,-,-,-,-,-,-,-,6.35
681,Marko Grujić,2017/2018,Cardiff,England-Championship,EC,13,986,-,-,-,-,-,-,-,7.14
682,Marko Grujić,2017/2018,Liverpool,Europe-UEFA-Champions-League,UCL,1,5,-,-,-,-,-,-,-,6.13
683,Marko Grujić,2017/2018,Liverpool,England-Premier-League,EPL,3,14,-,-,-,-,-,-,-,6.12
684,Marko Grujić,2016/2017,Liverpool,England-Premier-League,EPL,5,38,-,-,-,-,-,-,-,6.22
685,Nemanja Maksimović,2017/2018,Valencia,Spain-La-Liga,SLL,15,551,-,-,-,-,-,-,-,6.53
686,Nemanja Maksimović,2016/2017,FC Astana,Europe-UEFA-Europa-League,UEL,5,450,-,-,-,-,-,-,-,7.0
687,Nemanja Maksimović,2015/2016,FC Astana,Europe-UEFA-Champions-League,UCL,5,450,-,-,-,-,-,-,-,6.34
688,Aleksandar Prijović,2016/2017,Legia Warszaw..,Europe-UEFA-Champions-League,UCL,4,231,-,-,-,-,-,2,2,7.2
689,Aleksandar Prijović,2015/2016,Legia Warszaw..,Europe-UEFA-Europa-League,UEL,6,320,-,-,-,-,-,1,1,6.7
690,Luka Jović,2017/2018,Eintracht Fra..,Germany-Bundesliga,GB,22,929,-,-,-,-,-,1,1,6.57
691,Luka Jović,2016/2017,Benfica,Portugal-Liga-NOS,PLN,1,9,-,-,-,-,-,-,-,6.15
692,Luka Jović,2015/2016,Benfica,Europe-UEFA-Champions-League,UCL,1,2,-,-,-,-,-,-,-,6.17
693,Blerim Džemaili,2017/2018,Bologna,Italy-Serie-A,ISA,15,1196,-,-,-,-,-,-,-,6.75
694,Blerim Džemaili,2017,Montreal Impa..,USA-Major-League-Soccer,UMLS,22,1941,1,1,2,1,-,6,10,7.24
695,Blerim Džemaili,2016/2017,Bologna,Italy-Serie-A,ISA,31,2584,-,-,-,-,-,3,3,6.98
696,Blerim Džemaili,2015/2016,Genoa,Italy-Serie-A,ISA,27,1789,-,-,-,-,-,2,2,6.79
697,Blerim Džemaili,2014/2015,Galatasaray,Turkey-Super-Lig,TS,11,556,-,-,-,-,-,-,-,6.27
698,Blerim Džemaili,2014/2015,Galatasaray,Europe-UEFA-Champions-League,UCL,4,299,-,-,-,-,-,-,-,6.47
699,Blerim Džemaili,2016,Switzerland,International-European-Championship,UEC,4,307,-,-,-,-,-,-,-,6.71
700,Blerim Džemaili,2013/2014,Napoli,Italy-Serie-A,ISA,24,1547,-,-,-,-,-,3,3,7.06
701,Blerim Džemaili,2013/2014,Napoli,Europe-UEFA-Champions-League,UCL,3,242,-,-,-,-,-,-,-,6.71
702,Blerim Džemaili,2013/2014,Napoli,Europe-UEFA-Europa-League,UEL,1,90,-,-,-,-,-,-,-,6.2
703,Blerim Džemaili,2014,Switzerland,International-FIFA-World-Cup,WC,2,48,-,-,-,-,-,-,-,6.62
704,Blerim Džemaili,2012/2013,Napoli,Italy-Serie-A,ISA,34,1954,-,-,1,-,-,1,2,7.01
705,Blerim Džemaili,2012/2013,Napoli,Europe-UEFA-Europa-League,UEL,7,557,-,-,1,-,-,-,1,6.91
706,Blerim Džemaili,2011/2012,Napoli,Italy-Serie-A,ISA,28,1956,1,-,1,-,-,2,4,6.93
707,Blerim Džemaili,2011/2012,Napoli,Europe-UEFA-Champions-League,UCL,6,183,-,-,-,-,-,-,-,6.2
708,Blerim Džemaili,2010/2011,Parma,Italy-Serie-A,ISA,30,2225,-,-,-,-,-,-,-,7.04
709,Blerim Džemaili,2009/2010,Parma,Italy-Serie-A,ISA,19,1368,1,1,2,-,-,-,3,6.97
710,Haris Seferović,2017/2018,Benfica,Portugal-Liga-NOS,PLN,20,832,-,-,-,-,-,2,2,6.54
711,Haris Seferović,2017/2018,Benfica,Europe-UEFA-Champions-League,UCL,4,219,-,-,-,-,-,-,-,6.31
712,Haris Seferović,2016/2017,Eintracht Fra..,Germany-Bundesliga,GB,25,1061,-,-,-,-,-,-,-,6.28
713,Haris Seferović,2015/2016,Eintracht Fra..,Germany-Bundesliga,GB,29,2211,-,-,-,-,-,5,5,6.68
714,Haris Seferović,2014/2015,Eintracht Fra..,Germany-Bundesliga,GB,32,2850,2,-,-,-,-,3,5,7.12
715,Haris Seferović,2016,Switzerland,International-European-Championship,UEC,4,260,-,-,-,-,-,-,-,6.52
716,Haris Seferović,2013/2014,Real Sociedad,Spain-La-Liga,SLL,23,849,-,-,-,-,-,2,2,6.42
717,Haris Seferović,2013/2014,Real Sociedad,Europe-UEFA-Champions-League,UCL,6,251,-,-,-,-,-,-,-,6.15
718,Haris Seferović,2014,Switzerland,International-FIFA-World-Cup,WC,4,111,-,-,-,-,-,-,-,6.12
719,Haris Seferović,2012/2013,Fiorentina,Italy-Serie-A,ISA,7,183,-,-,-,-,-,-,-,6.2
720,Haris Seferović,2011/2012,Lecce,Italy-Serie-A,ISA,5,137,-,-,-,-,-,-,-,6.09
721,Haris Seferović,2010/2011,Fiorentina,Italy-Serie-A,ISA,1,11,-,-,-,-,-,-,-,6.13
722,Josip Drmić,2017/2018,Borussia M.Gl..,Germany-Bundesliga,GB,13,463,-,-,-,-,-,1,1,6.39
723,Josip Drmić,2016/2017,Borussia M.Gl..,Germany-Bundesliga,GB,12,276,-,-,-,-,-,-,-,6.16
724,Josip Drmić,2016/2017,Borussia M.Gl..,Europe-UEFA-Europa-League,UEL,3,171,-,-,-,-,-,2,2,6.67
725,Josip Drmić,2015/2016,Hamburger SV,Germany-Bundesliga,GB,6,420,-,-,-,-,-,-,-,6.73
726,Josip Drmić,2015/2016,Borussia M.Gl..,Germany-Bundesliga,GB,13,441,-,-,-,-,-,-,-,6.16
727,Josip Drmić,2015/2016,Borussia M.Gl..,Europe-UEFA-Champions-League,UCL,3,102,-,-,-,-,-,-,-,6.09
728,Josip Drmić,2014/2015,Bayer Leverku..,Germany-Bundesliga,GB,25,794,-,-,-,-,-,1,1,6.41
729,Josip Drmić,2014/2015,Bayer Leverku..,Europe-UEFA-Champions-League,UCL,7,316,-,-,-,-,-,-,-,6.2
730,Josip Drmić,2013/2014,Nuernberg,Germany-Bundesliga,GB,33,2666,-,-,2,-,-,1,3,7.08
731,Josip Drmić,2014,Switzerland,International-FIFA-World-Cup,WC,4,252,-,-,1,-,-,1,2,6.91
732,Mario Gavranović,2017/2018,Rijeka,Europe-UEFA-Europa-League,UEL,4,311,-,-,-,-,-,-,-,7.24
733,Mario Gavranović,2011/2012,Mainz 05,Germany-Bundesliga,GB,5,137,-,-,-,-,-,-,-,6.06
734,Mario Gavranović,2010/2011,Schalke 04,Germany-Bundesliga,GB,8,307,-,-,-,-,-,-,-,6.18
735,Mario Gavranović,2010/2011,Schalke 04,Europe-UEFA-Champions-League,UCL,1,90,-,-,-,-,-,-,-,9.07
736,Mario Gavranović,2009/2010,Schalke 04,Germany-Bundesliga,GB,2,76,-,-,-,-,-,-,-,6.42
737,Rafael Márquez,2015/2016,Verona,Italy-Serie-A,ISA,9,759,-,-,-,-,-,-,-,6.53
738,Rafael Márquez,2015,Mexico,International-Copa-America,ICA,1,64,-,-,-,-,-,-,-,7.15
739,Rafael Márquez,2014/2015,Verona,Italy-Serie-A,ISA,26,2218,-,-,-,1,-,-,1,6.79
740,Rafael Márquez,2014,Mexico,International-FIFA-World-Cup,WC,4,360,-,-,-,-,-,1,1,7.38
741,Rafael Márquez,2009/2010,Barcelona,Spain-La-Liga,SLL,15,763,-,-,1,-,-,-,1,6.64
742,Rafael Márquez,2009/2010,Barcelona,Europe-UEFA-Champions-League,UCL,3,172,-,-,-,-,-,-,-,6.38
743,Tim Cahill,2017/2018,Millwall,England-Championship,EC,10,65,-,-,-,-,-,-,-,6.0
744,Tim Cahill,2016,Zhejiang Gree..,China-Super-league,CSl,17,1372,-,-,-,-,-,-,-,6.96
745,Tim Cahill,2014,New York Red ..,USA-Major-League-Soccer,UMLS,28,1753,-,-,-,-,-,2,2,6.68
746,Tim Cahill,2014,Australia,International-FIFA-World-Cup,WC,2,158,-,-,-,-,-,-,-,7.28
747,Tim Cahill,2013,New York Red ..,USA-Major-League-Soccer,UMLS,29,2426,-,-,-,-,-,5,5,7.63
748,Tim Cahill,2011/2012,Everton,England-Premier-League,EPL,35,2353,-,-,-,-,-,2,2,6.54
749,Tim Cahill,2010/2011,Everton,England-Premier-League,EPL,27,2016,1,-,-,-,-,2,3,6.99
750,Tim Cahill,2009/2010,Everton,England-Premier-League,EPL,33,2870,-,-,1,-,-,3,4,7.26
751,Sergei Ignashevich,2017/2018,CSKA Moscow,Europe-UEFA-Europa-League,UEL,5,450,-,-,-,-,-,-,-,6.92
752,Sergei Ignashevich,2017/2018,CSKA Moscow,Europe-UEFA-Champions-League,UCL,4,316,-,-,-,-,-,-,-,6.7
753,Sergei Ignashevich,2017/2018,CSKA Moscow,Russia-Premier-League,RPL,25,2073,-,-,-,-,-,1,1,7.11
754,Sergei Ignashevich,2016/2017,CSKA Moscow,Russia-Premier-League,RPL,24,1970,-,-,1,1,-,-,1,7.22
755,Sergei Ignashevich,2016/2017,CSKA Moscow,Europe-UEFA-Champions-League,UCL,4,360,-,-,-,-,-,-,-,6.82
756,Sergei Ignashevich,2015/2016,CSKA Moscow,Russia-Premier-League,RPL,25,2161,-,-,-,-,-,1,1,7.06
757,Sergei Ignashevich,2015/2016,CSKA Moscow,Europe-UEFA-Champions-League,UCL,6,496,-,-,-,-,-,-,-,6.72
758,Sergei Ignashevich,2014/2015,CSKA Moscow,Europe-UEFA-Champions-League,UCL,6,540,-,-,-,-,-,-,-,6.64
759,Sergei Ignashevich,2014/2015,CSKA Moscow,Russia-Premier-League,RPL,30,2700,-,-,-,-,-,-,-,7.1
760,Sergei Ignashevich,2016,Russia,International-European-Championship,UEC,3,270,-,-,-,-,-,-,-,6.36
761,Sergei Ignashevich,2013/2014,CSKA Moscow,Europe-UEFA-Champions-League,UCL,6,540,-,-,-,-,-,-,-,6.2
762,Sergei Ignashevich,2013/2014,CSKA Moscow,Russia-Premier-League,RPL,30,2700,-,-,2,-,-,1,3,7.22
763,Sergei Ignashevich,2014,Russia,International-FIFA-World-Cup,WC,3,270,-,-,-,-,-,-,-,7.41
764,Sergei Ignashevich,2012,Russia,International-European-Championship,UEC,3,270,-,-,-,-,-,-,-,6.85
765,Sergei Ignashevich,2011/2012,CSKA Moscow,Europe-UEFA-Champions-League,UCL,8,704,-,-,-,-,-,-,-,6.77
766,Sergei Ignashevich,2009/2010,CSKA Moscow,Europe-UEFA-Champions-League,UCL,9,810,-,-,-,-,-,1,1,7.22
767,Blas Pérez,2016,Vancouver Whi..,USA-Major-League-Soccer,UMLS,22,755,-,-,-,-,-,1,1,6.37
768,Blas Pérez,2015,FC Dallas,USA-Major-League-Soccer,UMLS,26,1339,-,-,-,-,-,2,2,6.65
769,Blas Pérez,2014,FC Dallas,USA-Major-League-Soccer,UMLS,32,2305,-,-,1,-,-,4,5,7.05
770,Blas Pérez,2013,FC Dallas,USA-Major-League-Soccer,UMLS,25,2020,1,-,-,-,-,1,2,7.12
771,Beto,2017/2018,Goztepe,Turkey-Super-Lig,TS,30,2656,-,-,-,-,-,-,-,6.91
772,Beto,2016/2017,Sporting CP,Portugal-Liga-NOS,PLN,3,270,-,-,-,-,-,-,-,7.18
773,Beto,2015/2016,Sevilla,Spain-La-Liga,SLL,4,360,-,-,-,-,-,-,-,6.58
774,Beto,2014/2015,Sevilla,Spain-La-Liga,SLL,18,1449,-,-,-,-,-,-,-,6.45
775,Beto,2014/2015,Sevilla,Europe-UEFA-Europa-League,UEL,5,406,-,-,-,-,-,-,-,6.47
776,Beto,2013/2014,Sevilla,Spain-La-Liga,SLL,33,2927,-,-,-,-,-,-,-,6.76
777,Beto,2013/2014,Sevilla,Europe-UEFA-Europa-League,UEL,7,630,-,-,-,-,-,-,-,6.88
778,Beto,2014,Portugal,International-FIFA-World-Cup,WC,2,179,-,-,-,-,-,-,-,6.72
779,Beto,2012/2013,Sevilla,Spain-La-Liga,SLL,14,1260,-,-,-,-,-,-,-,6.83
780,Beto,2012/2013,Braga,Europe-UEFA-Champions-League,UCL,5,450,-,-,-,-,-,-,-,6.33
781,Beto,2009/2010,FC Porto,Europe-UEFA-Champions-League,UCL,1,90,-,-,-,-,-,-,-,6.07
782,Bruno Alves,2016/2017,Cagliari,Italy-Serie-A,ISA,36,3240,-,-,-,-,-,-,-,6.72
783,Bruno Alves,2015/2016,Fenerbahce,Turkey-Super-Lig,TS,26,2340,-,-,-,-,-,1,1,7.06
784,Bruno Alves,2015/2016,Fenerbahce,Europe-UEFA-Europa-League,UEL,9,810,-,-,-,-,-,-,-,6.89
785,Bruno Alves,2014/2015,Fenerbahce,Turkey-Super-Lig,TS,24,1973,-,-,-,-,-,-,-,6.86
786,Bruno Alves,2016,Portugal,International-European-Championship,UEC,1,90,-,-,-,-,-,-,-,6.92
787,Bruno Alves,2014,Portugal,International-FIFA-World-Cup,WC,3,270,-,-,-,-,-,-,-,6.76
788,Bruno Alves,2012/2013,Zenit St. Pet..,Europe-UEFA-Europa-League,UEL,1,73,-,-,-,-,-,-,-,7.74
789,Bruno Alves,2012/2013,Zenit St. Pet..,Europe-UEFA-Champions-League,UCL,5,305,-,-,-,-,-,-,-,6.6
790,Bruno Alves,2012,Portugal,International-European-Championship,UEC,5,450,-,-,-,-,-,-,-,6.46
791,Bruno Alves,2011/2012,Zenit St. Pet..,Europe-UEFA-Champions-League,UCL,5,301,-,-,-,-,-,-,-,6.32
792,Bruno Alves,2009/2010,FC Porto,Europe-UEFA-Champions-League,UCL,7,630,-,-,-,-,-,-,-,7.11
793,Brad Jones,2017/2018,Feyenoord,Europe-UEFA-Champions-League,UCL,5,450,-,-,-,-,-,-,-,5.95
794,Brad Jones,2017/2018,Feyenoord,Netherlands-Eredivisie,NE,31,2790,-,-,-,-,-,-,-,6.6
795,Brad Jones,2016/2017,Feyenoord,Netherlands-Eredivisie,NE,32,2880,-,-,-,-,-,-,-,6.88
796,Brad Jones,2016/2017,Feyenoord,Europe-UEFA-Europa-League,UEL,6,540,-,-,-,-,-,-,-,6.62
797,Brad Jones,2015/2016,NEC Nijmegen,Netherlands-Eredivisie,NE,17,1530,-,-,-,-,-,-,-,7.16
798,Brad Jones,2014/2015,Liverpool,England-Premier-League,EPL,3,196,-,-,-,-,-,-,-,6.2
799,Brad Jones,2012/2013,Liverpool,Europe-UEFA-Europa-League,UEL,3,270,-,-,-,-,-,-,-,6.54
800,Brad Jones,2012/2013,Liverpool,England-Premier-League,EPL,7,630,-,-,-,-,-,-,-,6.69
801,Brad Jones,2011/2012,Liverpool,England-Premier-League,EPL,1,64,-,-,-,-,-,-,-,7.55
802,Willy Caballero,2017/2018,Chelsea,England-Premier-League,EPL,3,270,-,-,-,-,-,-,-,6.65
803,Willy Caballero,2016/2017,Manchester Ci..,Europe-UEFA-Champions-League,UCL,5,393,-,-,-,-,-,-,-,6.59
804,Willy Caballero,2016/2017,Manchester Ci..,England-Premier-League,EPL,17,1451,-,-,-,-,-,-,-,6.69
805,Willy Caballero,2015/2016,Manchester Ci..,Europe-UEFA-Champions-League,UCL,1,9,-,-,-,-,-,-,-,6.01
806,Willy Caballero,2015/2016,Manchester Ci..,England-Premier-League,EPL,4,310,-,-,-,-,-,-,-,6.76
807,Willy Caballero,2014/2015,Manchester Ci..,England-Premier-League,EPL,2,180,-,-,-,-,-,-,-,6.62
808,Willy Caballero,2013/2014,Malaga,Spain-La-Liga,SLL,38,3420,-,-,-,-,-,-,-,6.94
809,Willy Caballero,2012/2013,Malaga,Spain-La-Liga,SLL,36,3194,-,-,-,-,-,-,-,6.87
810,Willy Caballero,2012/2013,Malaga,Europe-UEFA-Champions-League,UCL,9,810,-,-,-,-,-,-,-,7.1
811,Willy Caballero,2011/2012,Malaga,Spain-La-Liga,SLL,28,2403,-,-,-,-,-,-,-,6.7
812,Willy Caballero,2010/2011,Malaga,Spain-La-Liga,SLL,15,1347,-,-,-,-,-,-,-,7.16
813,Jaime Penedo,2015,LA Galaxy,USA-Major-League-Soccer,UMLS,16,1440,-,-,-,-,-,-,-,6.99
814,Jaime Penedo,2014,LA Galaxy,USA-Major-League-Soccer,UMLS,34,3060,-,-,-,-,-,-,-,6.83
815,Jaime Penedo,2013,LA Galaxy,USA-Major-League-Soccer,UMLS,11,990,-,-,-,-,-,-,-,6.87
816,Martín Silva,2018,Vasco da Gama,Brazil-Brasileirão,BSA,5,450,-,-,-,-,-,-,-,6.22
817,Martín Silva,2017,Vasco da Gama,Brazil-Brasileirão,BSA,35,3150,-,-,-,-,-,-,-,6.58
818,Martín Silva,2015,Vasco da Gama,Brazil-Brasileirão,BSA,21,1846,-,-,-,-,-,-,-,6.86
819,Martín Silva,2013,Uruguay,International-Confederations-Cup,ICC,1,90,-,-,-,-,-,-,-,7.27
820,Pepe,2017/2018,Besiktas,Turkey-Super-Lig,TS,23,2041,-,-,-,-,-,1,1,7.11
821,Pepe,2017/2018,Besiktas,Europe-UEFA-Champions-League,UCL,6,540,-,-,-,-,-,-,-,7.25
822,Pepe,2016/2017,Real Madrid,Spain-La-Liga,SLL,13,1081,-,-,-,-,-,1,1,7.22
823,Pepe,2016/2017,Real Madrid,Europe-UEFA-Champions-League,UCL,3,199,-,-,-,-,-,-,-,6.71
824,Pepe,2015/2016,Real Madrid,Spain-La-Liga,SLL,21,1887,1,-,-,-,-,-,1,7.27
825,Pepe,2015/2016,Real Madrid,Europe-UEFA-Champions-League,UCL,9,728,-,-,-,-,-,-,-,7.12
826,Pepe,2014/2015,Real Madrid,Spain-La-Liga,SLL,27,2225,-,-,-,-,-,2,2,7.2
827,Pepe,2014/2015,Real Madrid,Europe-UEFA-Champions-League,UCL,6,540,-,-,-,-,-,1,1,7.5
828,Pepe,2016,Portugal,International-European-Championship,UEC,6,540,-,-,-,-,-,-,-,6.84
829,Pepe,2013/2014,Real Madrid,Spain-La-Liga,SLL,30,2700,-,-,-,-,-,2,2,7.42
830,Pepe,2013/2014,Real Madrid,Europe-UEFA-Champions-League,UCL,11,973,-,-,-,-,-,2,2,7.53
831,Pepe,2014,Portugal,International-FIFA-World-Cup,WC,2,127,-,-,-,-,-,-,-,6.16
832,Pepe,2012/2013,Real Madrid,Spain-La-Liga,SLL,28,2345,-,-,-,-,-,1,1,7.04
833,Pepe,2012/2013,Real Madrid,Europe-UEFA-Champions-League,UCL,11,726,-,-,-,-,-,-,-,6.51
834,Pepe,2012,Portugal,International-European-Championship,UEC,5,450,-,-,-,-,-,-,-,7.39
835,Pepe,2011/2012,Real Madrid,Spain-La-Liga,SLL,29,2550,-,-,-,-,-,-,-,7.21
836,Pepe,2011/2012,Real Madrid,Europe-UEFA-Champions-League,UCL,9,810,-,-,-,-,-,-,-,7.11
837,Pepe,2010/2011,Real Madrid,Spain-La-Liga,SLL,26,2225,-,-,-,-,-,1,1,7.32
838,Pepe,2010/2011,Real Madrid,Europe-UEFA-Champions-League,UCL,8,681,-,-,-,-,-,-,-,6.89
839,Pepe,2009/2010,Real Madrid,Spain-La-Liga,SLL,10,856,-,-,-,-,-,-,-,7.47
840,Pepe,2009/2010,Real Madrid,Europe-UEFA-Champions-League,UCL,6,540,-,-,1,-,-,1,2,7.29
841,Michael Krohn-Dehli,2017/2018,Deportivo La ..,Spain-La-Liga,SLL,11,734,-,-,-,-,-,-,-,6.24
842,Michael Krohn-Dehli,2017/2018,Sevilla,Spain-La-Liga,SLL,13,533,-,-,-,-,-,1,1,6.46
843,Michael Krohn-Dehli,2017/2018,Sevilla,Europe-UEFA-Champions-League,UCL,3,140,-,-,-,-,-,-,-,6.25
844,Michael Krohn-Dehli,2016/2017,Sevilla,Spain-La-Liga,SLL,2,172,-,-,-,-,-,-,-,6.61
845,Michael Krohn-Dehli,2015/2016,Sevilla,Spain-La-Liga,SLL,27,1658,2,-,1,-,-,-,3,6.7
846,Michael Krohn-Dehli,2015/2016,Sevilla,Europe-UEFA-Europa-League,UEL,7,382,-,-,-,-,-,-,-,6.69
847,Michael Krohn-Dehli,2015/2016,Sevilla,Europe-UEFA-Champions-League,UCL,6,259,-,1,-,-,-,-,1,6.52
848,Michael Krohn-Dehli,2014/2015,Celta Vigo,Spain-La-Liga,SLL,36,3105,1,-,2,-,-,2,5,6.93
849,Michael Krohn-Dehli,2013/2014,Celta Vigo,Spain-La-Liga,SLL,31,1949,-,-,1,-,-,2,3,6.68
850,Michael Krohn-Dehli,2012/2013,Celta Vigo,Spain-La-Liga,SLL,34,2823,3,-,3,-,-,-,6,6.7
851,Michael Krohn-Dehli,2012,Denmark,International-European-Championship,UEC,3,270,-,-,-,-,-,-,-,7.49
852,Kári Árnason,2016,Malmoe FF,Sweden-Allsvenskan,SA,23,2019,-,-,-,-,-,1,1,7.38
853,Kári Árnason,2015/2016,Malmoe FF,Europe-UEFA-Champions-League,UCL,5,449,-,-,-,-,-,-,-,5.91
854,Kári Árnason,2014/2015,Rotherham,England-Championship,EC,43,3793,-,-,-,-,-,-,-,7.16
855,Kári Árnason,2016,Iceland,International-European-Championship,UEC,5,406,-,-,-,-,-,2,2,6.87
856,Ólafur Ingi Skúlason,2017/2018,Karabukspor,Turkey-Super-Lig,TS,16,1128,-,-,-,-,-,-,-,6.28
857,Ólafur Ingi Skúlason,2016/2017,Karabukspor,Turkey-Super-Lig,TS,25,1650,-,-,-,-,-,-,-,6.4
858,Ólafur Ingi Skúlason,2015/2016,Genclerbirlig..,Turkey-Super-Lig,TS,25,1882,-,-,-,-,-,-,-,6.65
859,Ólafur Ingi Skúlason,2013/2014,Zulte-Waregem,Europe-UEFA-Europa-League,UEL,4,350,-,-,-,-,-,-,-,6.41
860,Eiji Kawashima,2017/2018,Metz,France-Ligue-1,FL1,29,2570,-,-,-,-,-,-,-,6.61
861,Eiji Kawashima,2016/2017,Metz,France-Ligue-1,FL1,5,450,-,-,-,-,-,-,-,7.03
862,Eiji Kawashima,2014/2015,Standard Lieg..,Europe-UEFA-Europa-League,UEL,3,270,-,-,-,-,-,-,-,6.56
863,Eiji Kawashima,2013/2014,Standard Lieg..,Europe-UEFA-Europa-League,UEL,3,270,-,-,-,-,-,-,-,6.56
864,Eiji Kawashima,2014,Japan,International-FIFA-World-Cup,WC,3,270,-,-,-,-,-,-,-,6.58
865,Eiji Kawashima,2013,Japan,International-Confederations-Cup,ICC,3,270,-,-,-,-,-,-,-,7.13
866,Andrés Iniesta,2017/2018,Barcelona,Spain-La-Liga,SLL,30,1843,1,-,1,-,-,-,2,6.91
867,Andrés Iniesta,2017/2018,Barcelona,Europe-UEFA-Champions-League,UCL,8,624,-,-,-,-,-,2,2,7.15
868,Andrés Iniesta,2016/2017,Barcelona,Spain-La-Liga,SLL,23,1332,2,-,-,-,-,1,3,6.93
869,Andrés Iniesta,2016/2017,Barcelona,Europe-UEFA-Champions-League,UCL,8,594,-,-,-,-,-,1,1,6.92
870,Andrés Iniesta,2015/2016,Barcelona,Spain-La-Liga,SLL,28,2248,-,-,1,-,-,1,2,7.24
871,Andrés Iniesta,2015/2016,Barcelona,Europe-UEFA-Champions-League,UCL,7,553,-,-,-,-,-,-,-,7.12
872,Andrés Iniesta,2014/2015,Barcelona,Spain-La-Liga,SLL,24,1590,1,-,-,-,-,-,1,6.96
873,Andrés Iniesta,2014/2015,Barcelona,Europe-UEFA-Champions-League,UCL,11,787,-,-,1,-,-,4,5,7.34
