,Player,Season,Team,Tournament-fullname,Tournament,Apps,Mins,Cross,Corner,Throughball,Freekick,Throwin,Other,Total_Assists,Rating
11,Łukasz Fabiański,2010/2011,Arsenal,England-Premier-League,EPL,14,1260,-,-,-,-,-,1,1,6.75
12,Łukasz Fabiański,2009/2010,Arsenal,Europe-UEFA-Champions-League,UCL,1,90,-,-,-,-,-,-,-,7.26
13,Łukasz Fabiański,2009/2010,Arsenal,England-Premier-League,EPL,4,360,-,-,-,-,-,-,-,6.41
14,Danijel Subašic,2017/2018,Monaco,Europe-UEFA-Champions-League,UCL,3,270,-,-,-,-,-,-,-,5.87
15,Danijel Subašic,2017/2018,Monaco,France-Ligue-1,FL1,34,2941,-,-,-,-,-,-,-,6.57
16,Danijel Subašic,2016/2017,Monaco,Europe-UEFA-Champions-League,UCL,11,990,-,-,-,-,-,-,-,6.5
17,Danijel Subašic,2016/2017,Monaco,France-Ligue-1,FL1,36,3240,-,-,-,-,-,-,-,6.9
18,Danijel Subašic,2015/2016,Monaco,Europe-UEFA-Europa-League,UEL,6,540,-,-,-,-,-,-,-,6.45
19,Danijel Subašic,2015/2016,Monaco,France-Ligue-1,FL1,36,3240,-,-,-,-,-,-,-,6.78
20,Danijel Subašic,2014/2015,Monaco,Europe-UEFA-Champions-League,UCL,10,900,-,-,-,-,-,-,-,7.07
21,Danijel Subašic,2014/2015,Monaco,France-Ligue-1,FL1,37,3330,-,-,-,-,-,-,-,6.76
22,Danijel Subašic,2016,Croatia,International-European-Championship,UEC,4,360,-,-,-,-,-,-,-,6.58
23,Danijel Subašic,2013/2014,Monaco,France-Ligue-1,FL1,35,3150,-,-,-,-,-,-,-,6.94
24,Sławomir Peszko,2014/2015,FC Cologne,Germany-Bundesliga,GB,18,1000,-,-,-,-,-,1,1,6.47
25,Sławomir Peszko,2016,Poland,International-European-Championship,UEC,2,5,-,-,-,-,-,-,-,6.0
26,Sławomir Peszko,2011/2012,FC Cologne,Germany-Bundesliga,GB,32,2311,1,1,-,-,-,5,6,6.67
27,Sławomir Peszko,2010/2011,FC Cologne,Germany-Bundesliga,GB,11,766,-,-,-,-,-,5,5,6.93
28,Mario Mandžukic,2017/2018,Juventus,Italy-Serie-A,ISA,32,2327,-,-,-,-,-,3,3,7.01
29,Mario Mandžukic,2017/2018,Juventus,Europe-UEFA-Champions-League,UCL,6,457,-,-,-,-,-,-,-,7.37
30,Mario Mandžukic,2016/2017,Juventus,Italy-Serie-A,ISA,34,2488,-,-,-,-,-,4,4,7.03
31,Mario Mandžukic,2016/2017,Juventus,Europe-UEFA-Champions-League,UCL,11,914,-,-,-,-,-,-,-,7.29
32,Mario Mandžukic,2015/2016,Juventus,Italy-Serie-A,ISA,27,2050,-,-,-,-,-,4,4,7.2
33,Mario Mandžukic,2015/2016,Juventus,Europe-UEFA-Champions-League,UCL,5,311,-,-,1,-,-,-,1,6.93
34,Mario Mandžukic,2014/2015,Atletico Madr..,Spain-La-Liga,SLL,28,1945,-,-,1,-,-,4,5,7.22
35,Mario Mandžukic,2014/2015,Atletico Madr..,Europe-UEFA-Champions-League,UCL,10,832,-,-,-,-,-,-,-,7.39
36,Mario Mandžukic,2016,Croatia,International-European-Championship,UEC,3,268,-,-,-,-,-,-,-,7.12
37,Mario Mandžukic,2013/2014,Bayern Munich,Europe-UEFA-Champions-League,UCL,10,652,-,-,-,-,-,2,2,7.12
38,Mario Mandžukic,2013/2014,Bayern Munich,Germany-Bundesliga,GB,30,2028,-,-,-,-,-,4,4,7.5
39,Mario Mandžukic,2014,Croatia,International-FIFA-World-Cup,WC,2,180,-,-,-,-,-,-,-,7.8
40,Mario Mandžukic,2012/2013,Bayern Munich,Germany-Bundesliga,GB,24,1744,1,-,-,-,-,-,1,7.49
41,Mario Mandžukic,2012/2013,Bayern Munich,Europe-UEFA-Champions-League,UCL,10,721,-,-,-,-,-,1,1,7.07
42,Mario Mandžukic,2012,Croatia,International-European-Championship,UEC,3,270,-,-,-,-,-,-,-,7.24
43,Mario Mandžukic,2011/2012,Wolfsburg,Germany-Bundesliga,GB,32,2723,2,-,-,-,-,6,8,7.53
44,Mario Mandžukic,2010/2011,Wolfsburg,Germany-Bundesliga,GB,24,1475,-,-,-,-,-,3,3,6.96
45,Nabil Dirar,2017/2018,Fenerbahce,Turkey-Super-Lig,TS,29,2278,1,-,-,-,-,7,8,7.13
46,Nabil Dirar,2016/2017,Monaco,Europe-UEFA-Champions-League,UCL,7,235,-,-,-,-,-,-,-,6.54
47,Nabil Dirar,2016/2017,Monaco,France-Ligue-1,FL1,18,865,-,-,-,-,-,3,3,6.84
48,Nabil Dirar,2015/2016,Monaco,Europe-UEFA-Europa-League,UEL,3,114,1,-,-,-,-,-,1,6.57
49,Nabil Dirar,2015/2016,Monaco,France-Ligue-1,FL1,20,1559,4,-,1,-,-,4,9,7.2
50,Nabil Dirar,2014/2015,Monaco,Europe-UEFA-Champions-League,UCL,9,603,1,-,-,-,-,-,1,6.75
51,Nabil Dirar,2014/2015,Monaco,France-Ligue-1,FL1,27,1275,1,-,-,-,-,1,2,6.55
52,Nabil Dirar,2013/2014,Monaco,France-Ligue-1,FL1,11,321,1,-,-,-,-,1,2,6.5
53,Jakub Błaszczykowski,2017/2018,Wolfsburg,Germany-Bundesliga,GB,9,521,-,-,-,-,-,-,-,6.56
54,Jakub Błaszczykowski,2016/2017,Wolfsburg,Germany-Bundesliga,GB,28,1693,1,-,-,-,-,-,1,6.71
55,Jakub Błaszczykowski,2015/2016,Fiorentina,Italy-Serie-A,ISA,15,761,-,-,-,-,-,1,1,6.56
56,Jakub Błaszczykowski,2015/2016,Fiorentina,Europe-UEFA-Europa-League,UEL,5,249,-,-,-,-,-,1,1,6.39
57,Jakub Błaszczykowski,2014/2015,Borussia Dort..,Germany-Bundesliga,GB,13,599,-,-,-,-,-,-,-,6.67
58,Jakub Błaszczykowski,2014/2015,Borussia Dort..,Europe-UEFA-Champions-League,UCL,3,47,-,-,-,-,-,-,-,6.02
59,Jakub Błaszczykowski,2016,Poland,International-European-Championship,UEC,5,385,-,-,-,-,-,1,1,7.53
60,Jakub Błaszczykowski,2013/2014,Borussia Dort..,Europe-UEFA-Champions-League,UCL,6,343,-,-,-,-,-,-,-,6.74
61,Jakub Błaszczykowski,2013/2014,Borussia Dort..,Germany-Bundesliga,GB,16,791,-,-,-,-,-,1,1,6.69
62,Jakub Błaszczykowski,2012/2013,Borussia Dort..,Germany-Bundesliga,GB,27,1946,2,-,1,-,-,7,10,7.5
63,Jakub Błaszczykowski,2012/2013,Borussia Dort..,Europe-UEFA-Champions-League,UCL,10,714,1,-,-,-,-,-,1,6.74
64,Jakub Błaszczykowski,2012,Poland,International-European-Championship,UEC,3,270,1,-,-,-,-,-,1,7.24
65,Jakub Błaszczykowski,2011/2012,Borussia Dort..,Germany-Bundesliga,GB,29,1988,2,-,-,1,-,6,9,7.51
66,Jakub Błaszczykowski,2011/2012,Borussia Dort..,Europe-UEFA-Champions-League,UCL,5,176,-,-,-,-,-,-,-,6.6
67,Jakub Błaszczykowski,2010/2011,Borussia Dort..,Germany-Bundesliga,GB,29,1544,1,-,-,-,-,1,2,6.82
68,Jakub Błaszczykowski,2009/2010,Borussia Dort..,Germany-Bundesliga,GB,32,2407,1,-,-,-,-,3,4,7.22
69,Román Torres,2018,Seattle Sound..,USA-Major-League-Soccer,UMLS,5,390,-,-,-,-,-,-,-,6.24
70,Román Torres,2017,Seattle Sound..,USA-Major-League-Soccer,UMLS,27,2148,1,-,-,-,-,1,2,6.77
71,Román Torres,2016,Seattle Sound..,USA-Major-League-Soccer,UMLS,13,1125,-,-,-,-,-,-,-,6.86
72,Román Torres,2015,Seattle Sound..,USA-Major-League-Soccer,UMLS,4,315,-,-,-,-,-,1,1,7.18
73,Cheikh N'Doye,2017/2018,Birmingham,England-Championship,EC,37,2391,-,-,-,-,-,1,1,6.57
74,Cheikh N'Doye,2016/2017,Angers,France-Ligue-1,FL1,33,2911,-,-,-,-,-,5,5,7.34
75,Cheikh N'Doye,2015/2016,Angers,France-Ligue-1,FL1,32,2775,-,-,-,-,-,4,4,7.32
76,Soslan Dzhanayev,2017/2018,Rubin Kazan,Russia-Premier-League,RPL,18,1613,-,-,-,-,-,-,-,6.84
77,Soslan Dzhanayev,2016/2017,FC Rostov,Russia-Premier-League,RPL,13,1170,-,-,-,-,-,-,-,6.74
78,Soslan Dzhanayev,2016/2017,FC Rostov,Europe-UEFA-Champions-League,UCL,6,540,-,-,-,-,-,-,-,6.94
79,Soslan Dzhanayev,2015/2016,FC Rostov,Russia-Premier-League,RPL,30,2700,-,-,-,-,-,-,-,6.71
80,Krzysztof Mączyński,2016,Poland,,UEC,4,334,-,-,-,-,-,-,-,6.51
81,Bartosz Białkowski,2017/2018,Ipswich,England-Championship,EC,45,4050,-,-,-,-,-,-,-,6.79
82,Bartosz Białkowski,2016/2017,Ipswich,England-Championship,EC,44,3960,-,-,-,-,-,-,-,6.58
83,Bartosz Białkowski,2015/2016,Ipswich,England-Championship,EC,20,1800,-,-,-,-,-,-,-,6.96
84,Bartosz Białkowski,2014/2015,Ipswich,England-Championship,EC,33,2960,-,-,-,-,-,-,-,6.43
85,Artur Jędrzejczyk,2016/2017,FC Krasnodar,Russia-Premier-League,RPL,13,1131,-,-,-,-,-,1,1,6.78
86,Artur Jędrzejczyk,2016/2017,FC Krasnodar,Europe-UEFA-Europa-League,UEL,5,435,-,-,-,-,1,1,2,6.79
87,Artur Jędrzejczyk,2015/2016,FC Krasnodar,Russia-Premier-League,RPL,6,490,-,-,-,-,-,-,-,7.0
88,Artur Jędrzejczyk,2015/2016,FC Krasnodar,Europe-UEFA-Europa-League,UEL,4,357,-,-,-,-,-,-,-,6.83
89,Artur Jędrzejczyk,2014/2015,FC Krasnodar,Europe-UEFA-Europa-League,UEL,5,407,-,-,-,-,-,-,-,6.96
90,Artur Jędrzejczyk,2014/2015,FC Krasnodar,Russia-Premier-League,RPL,14,1260,1,-,-,-,-,-,1,6.97
91,Artur Jędrzejczyk,2016,Poland,International-European-Championship,UEC,5,450,-,-,-,-,-,-,-,6.97
92,Artur Jędrzejczyk,2013/2014,FC Krasnodar,Russia-Premier-League,RPL,27,2386,2,-,-,-,-,-,2,7.16
93,Shinji Kagawa,2017/2018,Borussia Dort..,Germany-Bundesliga,GB,19,1166,-,-,-,-,-,1,1,6.81
94,Shinji Kagawa,2017/2018,Borussia Dort..,Europe-UEFA-Champions-League,UCL,5,402,-,-,1,-,-,1,2,6.73
95,Shinji Kagawa,2016/2017,Borussia Dort..,Germany-Bundesliga,GB,21,1259,-,-,1,-,-,5,6,6.82
96,Shinji Kagawa,2016/2017,Borussia Dort..,Europe-UEFA-Champions-League,UCL,5,369,-,-,-,-,-,2,2,7.35
97,Shinji Kagawa,2015/2016,Borussia Dort..,Germany-Bundesliga,GB,29,2172,-,-,1,-,-,6,7,7.06
98,Shinji Kagawa,2015/2016,Borussia Dort..,Europe-UEFA-Europa-League,UEL,8,482,-,-,-,-,-,1,1,6.69
99,Shinji Kagawa,2014/2015,Borussia Dort..,Germany-Bundesliga,GB,28,1880,-,-,-,-,-,5,5,6.78
100,Shinji Kagawa,2014/2015,Borussia Dort..,Europe-UEFA-Champions-League,UCL,5,348,-,-,1,-,-,1,2,6.87
101,Shinji Kagawa,2013/2014,Manchester Un..,Europe-UEFA-Champions-League,UCL,8,596,-,-,-,-,-,-,-,6.72
102,Shinji Kagawa,2013/2014,Manchester Un..,England-Premier-League,EPL,18,1172,1,-,-,-,-,2,3,6.71
103,Shinji Kagawa,2014,Japan,International-FIFA-World-Cup,WC,3,204,-,-,-,-,-,-,-,6.59
104,Shinji Kagawa,2013,Japan,International-Confederations-Cup,ICC,3,270,-,-,-,-,-,1,1,7.31
105,Shinji Kagawa,2012/2013,Manchester Un..,Europe-UEFA-Champions-League,UCL,3,195,1,-,-,-,-,1,2,6.84
106,Shinji Kagawa,2012/2013,Manchester Un..,England-Premier-League,EPL,20,1325,-,-,1,-,-,2,3,6.91
107,Shinji Kagawa,2011/2012,Borussia Dort..,Germany-Bundesliga,GB,31,2423,-,-,1,-,-,7,8,7.48
108,Shinji Kagawa,2011/2012,Borussia Dort..,Europe-UEFA-Champions-League,UCL,6,355,-,-,-,-,-,-,-,6.26
