,Player,Season,Team,Tournament-fullname,Tournament,Apps,Mins,Yellow,Red,Rating
539,Piotr Zieliński,2015/2016,Empoli,Italy-Serie-A,ISA,35,3035,5,1,7.22
540,Piotr Zieliński,2014/2015,Empoli,Italy-Serie-A,ISA,28,1033,3,-,6.47
541,Piotr Zieliński,2016,Poland,International-European-Championship,UEC,1,46,-,-,6.16
542,Piotr Zieliński,2013/2014,Udinese,Italy-Serie-A,ISA,10,126,-,-,6.14
543,Piotr Zieliński,2012/2013,Udinese,Italy-Serie-A,ISA,9,318,1,-,6.49
544,Marko Pjaca,2017/2018,Schalke 04,Germany-Bundesliga,GB,7,260,-,-,6.61
545,Marko Pjaca,2016/2017,Juventus,Italy-Serie-A,ISA,14,448,1,-,6.31
546,Marko Pjaca,2016/2017,Juventus,Europe-UEFA-Champions-League,UCL,4,94,-,-,6.7
547,Marko Pjaca,2015/2016,Dinamo Zagreb,Europe-UEFA-Champions-League,UCL,6,385,-,-,6.21
548,Marko Pjaca,2014/2015,Dinamo Zagreb,Europe-UEFA-Europa-League,UEL,3,133,-,-,7.59
549,Marko Pjaca,2016,Croatia,International-European-Championship,UEC,2,91,-,-,6.7
550,Victor Lindelöf,2017/2018,Manchester Un..,Europe-UEFA-Champions-League,UCL,5,450,-,-,6.98
551,Victor Lindelöf,2017/2018,Manchester Un..,England-Premier-League,EPL,17,1284,1,-,6.66
552,Victor Lindelöf,2016/2017,Benfica,Portugal-Liga-NOS,PLN,32,2880,1,-,7.03
553,Victor Lindelöf,2016/2017,Benfica,Europe-UEFA-Champions-League,UCL,8,720,-,-,6.57
554,Victor Lindelöf,2015/2016,Benfica,Europe-UEFA-Champions-League,UCL,4,360,1,-,6.65
555,Victor Lindelöf,2015,Sweden U21,International-EURO-U-21,IEU,5,405,-,-,6.61
556,Victor Lindelöf,2016,Sweden,International-European-Championship,UEC,3,270,1,-,6.41
557,Thomas Lemar,2017/2018,Monaco,Europe-UEFA-Champions-League,UCL,3,178,-,-,6.62
558,Thomas Lemar,2017/2018,Monaco,France-Ligue-1,FL1,30,2383,1,-,7.1
559,Thomas Lemar,2016/2017,Monaco,Europe-UEFA-Champions-League,UCL,12,895,2,-,7.23
560,Thomas Lemar,2016/2017,Monaco,France-Ligue-1,FL1,34,2612,1,-,7.48
561,Thomas Lemar,2015/2016,Monaco,Europe-UEFA-Europa-League,UEL,4,199,-,-,6.81
562,Thomas Lemar,2015/2016,Monaco,France-Ligue-1,FL1,26,1810,1,-,7.12
563,Thomas Lemar,2014/2015,Caen,France-Ligue-1,FL1,25,716,1,-,6.55
564,Sergio Agüero,2017/2018,Manchester Ci..,Europe-UEFA-Champions-League,UCL,7,440,-,-,7.05
565,Sergio Agüero,2017/2018,Manchester Ci..,England-Premier-League,EPL,25,1969,2,-,7.81
566,Sergio Agüero,2016/2017,Manchester Ci..,Europe-UEFA-Champions-League,UCL,7,541,1,-,7.64
567,Sergio Agüero,2016/2017,Manchester Ci..,England-Premier-League,EPL,31,2407,4,1,7.33
568,Sergio Agüero,2015/2016,Manchester Ci..,Europe-UEFA-Champions-League,UCL,9,706,-,-,6.74
569,Sergio Agüero,2015/2016,Manchester Ci..,England-Premier-League,EPL,30,2375,1,-,7.39
570,Sergio Agüero,2015,Argentina,International-Copa-America,ICA,5,386,1,-,7.2
571,Sergio Agüero,2014/2015,Manchester Ci..,Europe-UEFA-Champions-League,UCL,7,550,2,-,7.09
572,Sergio Agüero,2014/2015,Manchester Ci..,England-Premier-League,EPL,33,2540,4,-,7.67
573,Sergio Agüero,2013/2014,Manchester Ci..,Europe-UEFA-Champions-League,UCL,6,433,1,-,7.67
574,Sergio Agüero,2013/2014,Manchester Ci..,England-Premier-League,EPL,23,1539,4,-,7.71
575,Sergio Agüero,2014,Argentina,International-FIFA-World-Cup,WC,5,256,1,-,6.12
576,Sergio Agüero,2012/2013,Manchester Ci..,Europe-UEFA-Champions-League,UCL,5,391,-,-,6.88
577,Sergio Agüero,2012/2013,Manchester Ci..,England-Premier-League,EPL,30,1946,2,-,7.03
578,Sergio Agüero,2011/2012,Manchester Ci..,Europe-UEFA-Champions-League,UCL,6,323,1,-,6.55
579,Sergio Agüero,2011/2012,Manchester Ci..,England-Premier-League,EPL,34,2602,2,-,7.45
580,Sergio Agüero,2010/2011,Atletico Madr..,Spain-La-Liga,SLL,32,2678,6,-,7.38
581,Sergio Agüero,2009/2010,Atletico Madr..,Spain-La-Liga,SLL,31,2205,6,-,7.25
582,Sergio Agüero,2009/2010,Atletico Madr..,Europe-UEFA-Champions-League,UCL,6,444,1,-,7.17
583,Michał Pazdan,2016/2017,Legia Warszaw..,Europe-UEFA-Champions-League,UCL,3,270,2,-,6.65
584,Michał Pazdan,2016/2017,Legia Warszaw..,Europe-UEFA-Europa-League,UEL,2,180,-,-,6.79
585,Michał Pazdan,2015/2016,Legia Warszaw..,Europe-UEFA-Europa-League,UEL,4,359,1,-,7.12
586,Michał Pazdan,2016,Poland,International-European-Championship,UEC,5,450,-,-,6.95
587,Leon Balogun,2017/2018,Mainz 05,Germany-Bundesliga,GB,14,1176,4,1,6.76
588,Leon Balogun,2016/2017,Mainz 05,Germany-Bundesliga,GB,17,1024,3,-,6.65
589,Leon Balogun,2016/2017,Mainz 05,Europe-UEFA-Europa-League,UEL,2,180,1,-,7.48
590,Leon Balogun,2015/2016,Mainz 05,Germany-Bundesliga,GB,21,1511,4,-,7.12
591,Leon Balogun,2012/2013,Fortuna Duess..,Germany-Bundesliga,GB,17,1429,4,-,7.35
592,Leon Balogun,2010/2011,Werder Bremen,Germany-Bundesliga,GB,3,54,-,-,6.01
593,Leon Balogun,2009/2010,Hannover 96,Germany-Bundesliga,GB,2,127,-,-,6.39
594,Eduardo Salvio,2017/2018,Benfica,Portugal-Liga-NOS,PLN,26,1608,4,-,7.05
595,Eduardo Salvio,2017/2018,Benfica,Europe-UEFA-Champions-League,UCL,5,398,2,-,6.82
596,Eduardo Salvio,2016/2017,Benfica,Portugal-Liga-NOS,PLN,29,2010,1,-,7.22
597,Eduardo Salvio,2016/2017,Benfica,Europe-UEFA-Champions-League,UCL,8,628,1,-,7.04
598,Eduardo Salvio,2015/2016,Benfica,Europe-UEFA-Champions-League,UCL,3,92,-,-,6.55
599,Eduardo Salvio,2014/2015,Benfica,Europe-UEFA-Champions-League,UCL,5,450,2,-,7.08
600,Eduardo Salvio,2013/2014,Benfica,Europe-UEFA-Europa-League,UEL,6,361,3,-,7.47
601,Eduardo Salvio,2012/2013,Benfica,Europe-UEFA-Europa-League,UEL,8,544,-,-,6.71
602,Eduardo Salvio,2012/2013,Benfica,Europe-UEFA-Champions-League,UCL,5,450,-,-,7.27
603,Eduardo Salvio,2011/2012,Atletico Madr..,Spain-La-Liga,SLL,31,1623,7,-,6.83
604,Eduardo Salvio,2010/2011,Benfica,Europe-UEFA-Champions-League,UCL,5,226,1,-,6.49
605,Eduardo Salvio,2009/2010,Atletico Madr..,Spain-La-Liga,SLL,13,562,2,-,6.71
606,Pontus Jansson,2017/2018,Leeds,England-Championship,EC,42,3560,13,-,7.12
607,Pontus Jansson,2016/2017,Leeds,England-Championship,EC,34,3014,14,-,7.57
608,Pontus Jansson,2015/2016,Torino,Italy-Serie-A,ISA,7,614,1,-,6.9
609,Pontus Jansson,2014/2015,Torino,Italy-Serie-A,ISA,9,625,1,1,6.61
610,Pontus Jansson,2014/2015,Torino,Europe-UEFA-Europa-League,UEL,5,391,1,-,6.91
611,Jefferson Lerma,2017/2018,Levante,Spain-La-Liga,SLL,26,2138,16,-,6.99
612,Jefferson Lerma,2015/2016,Levante,Spain-La-Liga,SLL,33,2686,11,-,6.68
613,Sardar Azmoun,2017/2018,Rubin Kazan,Russia-Premier-League,RPL,26,1429,4,-,6.71
614,Sardar Azmoun,2016/2017,FC Rostov,Russia-Premier-League,RPL,27,1651,4,1,6.71
615,Sardar Azmoun,2016/2017,FC Rostov,Europe-UEFA-Champions-League,UCL,6,458,1,-,7.18
616,Sardar Azmoun,2016/2017,FC Rostov,Europe-UEFA-Europa-League,UEL,4,146,-,-,6.44
617,Sardar Azmoun,2015/2016,FC Rostov,Russia-Premier-League,RPL,24,1277,6,-,6.76
618,Sardar Azmoun,2014/2015,FC Rostov,Russia-Premier-League,RPL,11,441,5,-,6.45
619,Sardar Azmoun,2014/2015,Rubin Kazan,Russia-Premier-League,RPL,13,529,2,-,6.33
620,Sardar Azmoun,2013/2014,Rubin Kazan,Russia-Premier-League,RPL,14,800,2,-,6.77
621,Saúl,2010/2011,Deportivo La ..,,SLL,13,636,1,-,6.6
622,Takuma Asano,2017/2018,VfB Stuttgart,Germany-Bundesliga,GB,15,719,1,-,6.28
623,Takuma Asano,2016/2017,VfB Stuttgart,Germany-Bundesliga-II,GB2,26,1670,-,-,6.73
624,Paweł Dawidowicz,2016/2017,Bochum,,GB2,17,1049,4,-,6.63
625,Pierre-Emile Højbjerg,2017/2018,Southampton,England-Premier-League,EPL,23,1671,6,-,6.61
626,Pierre-Emile Højbjerg,2016/2017,Southampton,England-Premier-League,EPL,22,1299,2,-,6.79
627,Pierre-Emile Højbjerg,2016/2017,Southampton,Europe-UEFA-Europa-League,UEL,6,412,1,-,6.77
628,Pierre-Emile Højbjerg,2015/2016,Schalke 04,Germany-Bundesliga,GB,23,1274,3,-,6.77
629,Pierre-Emile Højbjerg,2015/2016,Schalke 04,Europe-UEFA-Europa-League,UEL,6,359,3,-,7.12
630,Pierre-Emile Højbjerg,2015,Denmark U21,International-EURO-U-21,IEU,3,269,-,-,7.12
631,Pierre-Emile Højbjerg,2014/2015,Bayern Munich,Germany-Bundesliga,GB,8,286,1,-,6.68
632,Pierre-Emile Højbjerg,2014/2015,Augsburg,Germany-Bundesliga,GB,16,1008,4,-,7.02
633,Pierre-Emile Højbjerg,2014/2015,Bayern Munich,Europe-UEFA-Champions-League,UCL,3,182,-,-,6.69
634,Pierre-Emile Højbjerg,2013/2014,Bayern Munich,Germany-Bundesliga,GB,7,289,-,-,6.95
635,Pierre-Emile Højbjerg,2012/2013,Bayern Munich,Germany-Bundesliga,GB,2,25,-,-,6.33
636,Luis Abram,2017/2018,Velez Sarsfie..,,APD,12,1026,2,1,6.84
637,Amine Harit,2017/2018,Schalke 04,Germany-Bundesliga,GB,31,2053,3,-,6.92
638,Amine Harit,2016/2017,Nantes,France-Ligue-1,FL1,30,2189,4,1,6.79
639,Kasper Dolberg,2017/2018,Ajax,Netherlands-Eredivisie,NE,23,1143,-,-,6.69
640,Kasper Dolberg,2016/2017,Ajax,Netherlands-Eredivisie,NE,29,2158,1,-,7.41
641,Kasper Dolberg,2016/2017,Ajax,Europe-UEFA-Europa-League,UEL,13,904,-,-,6.93
642,Predrag Rajković,2017/2018,Maccabi Tel A..,Europe-UEFA-Europa-League,UEL,6,540,-,-,6.33
643,Predrag Rajković,2016/2017,Maccabi Tel A..,Europe-UEFA-Europa-League,UEL,6,540,1,-,6.39
644,Predrag Rajković,2015/2016,Maccabi Tel A..,Europe-UEFA-Champions-League,UCL,6,540,1,-,6.22
645,Marko Dmitrović,2017/2018,Eibar,Spain-La-Liga,SLL,36,3240,1,-,6.54
646,Marko Dmitrović,2015,Serbia U21,International-EURO-U-21,IEU,3,270,-,-,6.1
647,Marko Dmitrović,2014/2015,Charlton,England-Championship,EC,5,405,-,-,6.68
648,Uroš Spajić,2017/2018,Anderlecht,Europe-UEFA-Champions-League,UCL,5,363,1,-,6.55
649,Uroš Spajić,2016/2017,Anderlecht,Europe-UEFA-Europa-League,UEL,9,810,2,-,7.07
650,Uroš Spajić,2015/2016,Toulouse,France-Ligue-1,FL1,14,1088,1,1,6.56
651,Uroš Spajić,2015,Serbia U21,International-EURO-U-21,IEU,3,270,-,-,6.48
652,Uroš Spajić,2014/2015,Toulouse,France-Ligue-1,FL1,17,1478,1,-,6.86
653,Uroš Spajić,2013/2014,Toulouse,France-Ligue-1,FL1,32,2591,9,2,6.91
654,Miloš Veljković,2017/2018,Werder Bremen,Germany-Bundesliga,GB,30,2656,2,-,6.64
655,Miloš Veljković,2016/2017,Werder Bremen,Germany-Bundesliga,GB,26,1810,5,-,6.44
656,Miloš Veljković,2015/2016,Werder Bremen,Germany-Bundesliga,GB,3,93,-,-,6.46
657,Miloš Veljković,2014/2015,Charlton,England-Championship,EC,3,198,-,-,6.74
658,Miloš Veljković,2014/2015,Middlesbrough,England-Championship,EC,3,145,-,-,6.55
659,Miloš Veljković,2013/2014,Tottenham,England-Premier-League,EPL,2,30,-,-,6.25
660,Nikola Milenković,2017/2018,Fiorentina,,ISA,16,1254,-,1,6.84
661,Milan Rodić,2017/2018,FK Crvena Zve..,Europe-UEFA-Europa-League,UEL,6,530,1,1,7.0
662,Milan Rodić,2016/2017,Krylya Soveto..,Russia-Premier-League,RPL,16,1259,2,-,6.69
663,Milan Rodić,2015/2016,Krylya Soveto..,Russia-Premier-League,RPL,16,870,3,-,6.5
664,Milan Rodić,2014/2015,Zenit St. Pet..,Europe-UEFA-Europa-League,UEL,1,65,-,-,7.53
665,Milan Rodić,2014/2015,Zenit St. Pet..,Russia-Premier-League,RPL,1,1,-,-,6.0
666,Milan Rodić,2013/2014,Volga Nyzhny,Russia-Premier-League,RPL,18,1421,6,-,6.96
667,Milan Rodić,2012/2013,Zenit St. Pet..,Europe-UEFA-Europa-League,UEL,2,95,-,-,6.76
668,Dušan Tadić,2017/2018,Southampton,England-Premier-League,EPL,36,2813,4,-,6.78
669,Dušan Tadić,2016/2017,Southampton,England-Premier-League,EPL,33,2427,4,-,6.72
670,Dušan Tadić,2016/2017,Southampton,Europe-UEFA-Europa-League,UEL,5,306,-,-,6.82
671,Dušan Tadić,2015/2016,Southampton,England-Premier-League,EPL,34,2293,2,-,7.07
672,Dušan Tadić,2014/2015,Southampton,England-Premier-League,EPL,31,2064,2,-,6.98
673,Dušan Tadić,2013/2014,Twente,Netherlands-Eredivisie,NE,33,2970,3,-,7.8
674,Dušan Tadić,2012/2013,Twente,Europe-UEFA-Europa-League,UEL,6,468,2,-,7.23
675,Nemanja Matić,2017/2018,Manchester Un..,Europe-UEFA-Champions-League,UCL,7,564,-,-,7.29
676,Nemanja Matić,2017/2018,Manchester Un..,England-Premier-League,EPL,36,3119,6,-,7.2
677,Nemanja Matić,2016/2017,Chelsea,England-Premier-League,EPL,35,2697,4,-,7.01
678,Nemanja Matić,2015/2016,Chelsea,Europe-UEFA-Champions-League,UCL,5,377,3,-,7.31
679,Nemanja Matić,2015/2016,Chelsea,England-Premier-League,EPL,33,2421,4,1,6.98
680,Nemanja Matić,2014/2015,Chelsea,Europe-UEFA-Champions-League,UCL,8,714,-,-,8.0
681,Nemanja Matić,2014/2015,Chelsea,England-Premier-League,EPL,36,3124,10,1,7.5
682,Nemanja Matić,2013/2014,Benfica,Europe-UEFA-Champions-League,UCL,6,540,1,-,6.84
683,Nemanja Matić,2013/2014,Chelsea,England-Premier-League,EPL,17,1364,3,-,7.63
684,Nemanja Matić,2012/2013,Benfica,Europe-UEFA-Europa-League,UEL,8,720,1,-,7.24
685,Nemanja Matić,2012/2013,Benfica,Europe-UEFA-Champions-League,UCL,5,437,4,-,6.81
686,Nemanja Matić,2011/2012,Benfica,Europe-UEFA-Champions-League,UCL,7,347,-,-,6.59
687,Nemanja Matić,2009/2010,Chelsea,England-Premier-League,EPL,2,40,-,-,6.47
688,Adem Ljajić,2017/2018,Torino,Italy-Serie-A,ISA,27,2155,2,-,7.21
689,Adem Ljajić,2016/2017,Torino,Italy-Serie-A,ISA,33,2521,5,-,7.18
690,Adem Ljajić,2015/2016,Inter,Italy-Serie-A,ISA,25,1445,2,-,6.82
691,Adem Ljajić,2015/2016,Roma,Italy-Serie-A,ISA,1,1,-,-,6.0
692,Adem Ljajić,2014/2015,Roma,Italy-Serie-A,ISA,32,2025,2,-,6.8
693,Adem Ljajić,2014/2015,Roma,Europe-UEFA-Champions-League,UCL,4,184,-,-,6.29
694,Adem Ljajić,2014/2015,Roma,Europe-UEFA-Europa-League,UEL,3,237,-,1,6.24
695,Adem Ljajić,2013/2014,Roma,Italy-Serie-A,ISA,28,1621,5,-,7.01
696,Adem Ljajić,2012/2013,Fiorentina,Italy-Serie-A,ISA,28,1628,2,-,7.3
697,Adem Ljajić,2011/2012,Fiorentina,Italy-Serie-A,ISA,15,659,1,-,6.33
698,Adem Ljajić,2010/2011,Fiorentina,Italy-Serie-A,ISA,26,1389,2,-,6.49
699,Adem Ljajić,2009/2010,Fiorentina,Italy-Serie-A,ISA,9,360,-,-,6.35
700,Luka Milivojević,2017/2018,Crystal Palac..,England-Premier-League,EPL,36,3082,8,-,7.01
701,Luka Milivojević,2016/2017,Crystal Palac..,England-Premier-League,EPL,14,1227,4,-,6.94
702,Luka Milivojević,2016/2017,Olympiacos,Europe-UEFA-Europa-League,UEL,4,343,2,-,7.08
703,Luka Milivojević,2015/2016,Olympiacos,Europe-UEFA-Europa-League,UEL,2,180,-,-,7.09
704,Luka Milivojević,2015/2016,Olympiacos,Europe-UEFA-Champions-League,UCL,4,360,1,-,6.7
705,Luka Milivojević,2014/2015,Olympiacos,Europe-UEFA-Champions-League,UCL,5,450,1,-,6.67
706,Luka Milivojević,2014/2015,Olympiacos,Europe-UEFA-Europa-League,UEL,2,84,1,1,6.08
707,Luka Milivojević,2013/2014,Anderlecht,Europe-UEFA-Champions-League,UCL,4,251,2,-,6.28
708,Mijat Gaćinović,2017/2018,Eintracht Fra..,Germany-Bundesliga,GB,29,1820,4,-,6.75
709,Mijat Gaćinović,2016/2017,Eintracht Fra..,Germany-Bundesliga,GB,28,2234,9,-,6.82
710,Mijat Gaćinović,2015/2016,Eintracht Fra..,Germany-Bundesliga,GB,7,330,1,-,6.35
711,Marko Grujić,2017/2018,Cardiff,England-Championship,EC,13,986,5,-,7.14
712,Marko Grujić,2017/2018,Liverpool,Europe-UEFA-Champions-League,UCL,1,5,-,-,6.13
713,Marko Grujić,2017/2018,Liverpool,England-Premier-League,EPL,3,14,-,-,6.12
714,Marko Grujić,2016/2017,Liverpool,England-Premier-League,EPL,5,38,1,-,6.22
715,Nemanja Maksimović,2017/2018,Valencia,Spain-La-Liga,SLL,15,551,1,-,6.53
716,Nemanja Maksimović,2016/2017,FC Astana,Europe-UEFA-Europa-League,UEL,5,450,1,-,7.0
717,Nemanja Maksimović,2015/2016,FC Astana,Europe-UEFA-Champions-League,UCL,5,450,-,-,6.34
718,Aleksandar Prijović,2016/2017,Legia Warszaw..,Europe-UEFA-Champions-League,UCL,4,231,-,-,7.2
719,Aleksandar Prijović,2015/2016,Legia Warszaw..,Europe-UEFA-Europa-League,UEL,6,320,-,-,6.7
720,Luka Jović,2017/2018,Eintracht Fra..,Germany-Bundesliga,GB,22,929,2,-,6.57
721,Luka Jović,2016/2017,Benfica,Portugal-Liga-NOS,PLN,1,9,-,-,6.15
722,Luka Jović,2015/2016,Benfica,Europe-UEFA-Champions-League,UCL,1,2,-,-,6.17
723,Blerim Džemaili,2017/2018,Bologna,Italy-Serie-A,ISA,15,1196,4,-,6.75
724,Blerim Džemaili,2017,Montreal Impa..,USA-Major-League-Soccer,UMLS,22,1941,8,-,7.24
725,Blerim Džemaili,2016/2017,Bologna,Italy-Serie-A,ISA,31,2584,10,1,6.98
726,Blerim Džemaili,2015/2016,Genoa,Italy-Serie-A,ISA,27,1789,6,1,6.79
727,Blerim Džemaili,2014/2015,Galatasaray,Turkey-Super-Lig,TS,11,556,2,-,6.27
728,Blerim Džemaili,2014/2015,Galatasaray,Europe-UEFA-Champions-League,UCL,4,299,3,-,6.47
729,Blerim Džemaili,2016,Switzerland,International-European-Championship,UEC,4,307,-,-,6.71
730,Blerim Džemaili,2013/2014,Napoli,Italy-Serie-A,ISA,24,1547,4,-,7.06
731,Blerim Džemaili,2013/2014,Napoli,Europe-UEFA-Champions-League,UCL,3,242,1,-,6.71
732,Blerim Džemaili,2013/2014,Napoli,Europe-UEFA-Europa-League,UEL,1,90,-,-,6.2
733,Blerim Džemaili,2014,Switzerland,International-FIFA-World-Cup,WC,2,48,-,-,6.62
734,Blerim Džemaili,2012/2013,Napoli,Italy-Serie-A,ISA,34,1954,8,-,7.01
735,Blerim Džemaili,2012/2013,Napoli,Europe-UEFA-Europa-League,UEL,7,557,1,-,6.91
736,Blerim Džemaili,2011/2012,Napoli,Italy-Serie-A,ISA,28,1956,9,1,6.93
737,Blerim Džemaili,2011/2012,Napoli,Europe-UEFA-Champions-League,UCL,6,183,1,-,6.2
738,Blerim Džemaili,2010/2011,Parma,Italy-Serie-A,ISA,30,2225,8,2,7.04
739,Blerim Džemaili,2009/2010,Parma,Italy-Serie-A,ISA,19,1368,4,-,6.97
740,Haris Seferović,2017/2018,Benfica,Portugal-Liga-NOS,PLN,20,832,1,-,6.54
741,Haris Seferović,2017/2018,Benfica,Europe-UEFA-Champions-League,UCL,4,219,1,-,6.31
742,Haris Seferović,2016/2017,Eintracht Fra..,Germany-Bundesliga,GB,25,1061,1,1,6.28
743,Haris Seferović,2015/2016,Eintracht Fra..,Germany-Bundesliga,GB,29,2211,10,-,6.68
744,Haris Seferović,2014/2015,Eintracht Fra..,Germany-Bundesliga,GB,32,2850,8,1,7.12
745,Haris Seferović,2016,Switzerland,International-European-Championship,UEC,4,260,-,-,6.52
746,Haris Seferović,2013/2014,Real Sociedad,Spain-La-Liga,SLL,23,849,2,-,6.42
747,Haris Seferović,2013/2014,Real Sociedad,Europe-UEFA-Champions-League,UCL,6,251,-,-,6.15
748,Haris Seferović,2014,Switzerland,International-FIFA-World-Cup,WC,4,111,-,-,6.12
749,Haris Seferović,2012/2013,Fiorentina,Italy-Serie-A,ISA,7,183,-,-,6.2
750,Haris Seferović,2011/2012,Lecce,Italy-Serie-A,ISA,5,137,1,-,6.09
751,Haris Seferović,2010/2011,Fiorentina,Italy-Serie-A,ISA,1,11,-,-,6.13
752,Josip Drmić,2017/2018,Borussia M.Gl..,Germany-Bundesliga,GB,13,463,1,-,6.39
753,Josip Drmić,2016/2017,Borussia M.Gl..,Germany-Bundesliga,GB,12,276,-,-,6.16
754,Josip Drmić,2016/2017,Borussia M.Gl..,Europe-UEFA-Europa-League,UEL,3,171,-,-,6.67
755,Josip Drmić,2015/2016,Hamburger SV,Germany-Bundesliga,GB,6,420,2,-,6.73
756,Josip Drmić,2015/2016,Borussia M.Gl..,Germany-Bundesliga,GB,13,441,-,-,6.16
757,Josip Drmić,2015/2016,Borussia M.Gl..,Europe-UEFA-Champions-League,UCL,3,102,1,-,6.09
758,Josip Drmić,2014/2015,Bayer Leverku..,Germany-Bundesliga,GB,25,794,1,-,6.41
759,Josip Drmić,2014/2015,Bayer Leverku..,Europe-UEFA-Champions-League,UCL,7,316,-,-,6.2
760,Josip Drmić,2013/2014,Nuernberg,Germany-Bundesliga,GB,33,2666,2,-,7.08
761,Josip Drmić,2014,Switzerland,International-FIFA-World-Cup,WC,4,252,-,-,6.91
762,Mario Gavranović,2017/2018,Rijeka,Europe-UEFA-Europa-League,UEL,4,311,2,-,7.24
763,Mario Gavranović,2011/2012,Mainz 05,Germany-Bundesliga,GB,5,137,1,-,6.06
764,Mario Gavranović,2010/2011,Schalke 04,Germany-Bundesliga,GB,8,307,-,-,6.18
765,Mario Gavranović,2010/2011,Schalke 04,Europe-UEFA-Champions-League,UCL,1,90,-,-,9.07
766,Mario Gavranović,2009/2010,Schalke 04,Germany-Bundesliga,GB,2,76,-,-,6.42
767,Rafael Márquez,2015/2016,Verona,Italy-Serie-A,ISA,9,759,3,-,6.53
768,Rafael Márquez,2015,Mexico,International-Copa-America,ICA,1,64,-,-,7.15
769,Rafael Márquez,2014/2015,Verona,Italy-Serie-A,ISA,26,2218,5,3,6.79
770,Rafael Márquez,2014,Mexico,International-FIFA-World-Cup,WC,4,360,2,-,7.38
771,Rafael Márquez,2009/2010,Barcelona,Spain-La-Liga,SLL,15,763,2,1,6.64
772,Rafael Márquez,2009/2010,Barcelona,Europe-UEFA-Champions-League,UCL,3,172,-,-,6.38
773,Tim Cahill,2017/2018,Millwall,England-Championship,EC,10,65,4,-,6.0
774,Tim Cahill,2016,Zhejiang Gree..,China-Super-league,CSl,17,1372,2,-,6.96
775,Tim Cahill,2014,New York Red ..,USA-Major-League-Soccer,UMLS,28,1753,5,1,6.68
776,Tim Cahill,2014,Australia,International-FIFA-World-Cup,WC,2,158,2,-,7.28
777,Tim Cahill,2013,New York Red ..,USA-Major-League-Soccer,UMLS,29,2426,4,-,7.63
778,Tim Cahill,2011/2012,Everton,England-Premier-League,EPL,35,2353,5,1,6.54
779,Tim Cahill,2010/2011,Everton,England-Premier-League,EPL,27,2016,4,-,6.99
780,Tim Cahill,2009/2010,Everton,England-Premier-League,EPL,33,2870,8,-,7.26
781,Sergei Ignashevich,2017/2018,CSKA Moscow,Europe-UEFA-Europa-League,UEL,5,450,-,-,6.92
782,Sergei Ignashevich,2017/2018,CSKA Moscow,Europe-UEFA-Champions-League,UCL,4,316,-,-,6.7
783,Sergei Ignashevich,2017/2018,CSKA Moscow,Russia-Premier-League,RPL,25,2073,-,-,7.11
784,Sergei Ignashevich,2016/2017,CSKA Moscow,Russia-Premier-League,RPL,24,1970,4,-,7.22
785,Sergei Ignashevich,2016/2017,CSKA Moscow,Europe-UEFA-Champions-League,UCL,4,360,-,-,6.82
786,Sergei Ignashevich,2015/2016,CSKA Moscow,Russia-Premier-League,RPL,25,2161,2,-,7.06
787,Sergei Ignashevich,2015/2016,CSKA Moscow,Europe-UEFA-Champions-League,UCL,6,496,-,-,6.72
788,Sergei Ignashevich,2014/2015,CSKA Moscow,Europe-UEFA-Champions-League,UCL,6,540,2,-,6.64
789,Sergei Ignashevich,2014/2015,CSKA Moscow,Russia-Premier-League,RPL,30,2700,4,-,7.1
790,Sergei Ignashevich,2016,Russia,International-European-Championship,UEC,3,270,-,-,6.36
791,Sergei Ignashevich,2013/2014,CSKA Moscow,Europe-UEFA-Champions-League,UCL,6,540,1,-,6.2
792,Sergei Ignashevich,2013/2014,CSKA Moscow,Russia-Premier-League,RPL,30,2700,3,-,7.22
793,Sergei Ignashevich,2014,Russia,International-FIFA-World-Cup,WC,3,270,-,-,7.41
794,Sergei Ignashevich,2012,Russia,International-European-Championship,UEC,3,270,-,-,6.85
795,Sergei Ignashevich,2011/2012,CSKA Moscow,Europe-UEFA-Champions-League,UCL,8,704,-,-,6.77
796,Sergei Ignashevich,2009/2010,CSKA Moscow,Europe-UEFA-Champions-League,UCL,9,810,1,-,7.22
797,Blas Pérez,2016,Vancouver Whi..,USA-Major-League-Soccer,UMLS,22,755,5,-,6.37
798,Blas Pérez,2015,FC Dallas,USA-Major-League-Soccer,UMLS,26,1339,3,1,6.65
799,Blas Pérez,2014,FC Dallas,USA-Major-League-Soccer,UMLS,32,2305,3,2,7.05
800,Blas Pérez,2013,FC Dallas,USA-Major-League-Soccer,UMLS,25,2020,5,1,7.12
801,Beto,2017/2018,Goztepe,Turkey-Super-Lig,TS,30,2656,5,-,6.91
802,Beto,2016/2017,Sporting CP,Portugal-Liga-NOS,PLN,3,270,-,-,7.18
803,Beto,2015/2016,Sevilla,Spain-La-Liga,SLL,4,360,1,-,6.58
804,Beto,2014/2015,Sevilla,Spain-La-Liga,SLL,18,1449,4,-,6.45
805,Beto,2014/2015,Sevilla,Europe-UEFA-Europa-League,UEL,5,406,-,-,6.47
806,Beto,2013/2014,Sevilla,Spain-La-Liga,SLL,33,2927,3,-,6.76
807,Beto,2013/2014,Sevilla,Europe-UEFA-Europa-League,UEL,7,630,-,-,6.88
808,Beto,2014,Portugal,International-FIFA-World-Cup,WC,2,179,-,-,6.72
809,Beto,2012/2013,Sevilla,Spain-La-Liga,SLL,14,1260,-,-,6.83
