,Player,Tournament-fullname,Tournament,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
39,Abdallah Said,"International-Africa-Cup-of-Nations""><span class=""ui-icon country flg-cint""></span>Africa Cup of Nations</a></td>   <td>1</td><td class=""minsPlayed   ""><span class=""not-available"">N/A</span>	</td><td class=""goal   "">-	</td><td class=""assistTotal   ""><span class=""not-available"">N/A</span>	</td><td class=""yellowCard   "">-	</td><td class=""redCard   "">-	</td><td class=""shotsPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""passSuccess   ""><span class=""not-available"">N/A</span>	</td><td class=""aerialWonPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""manOfTheMatch   ",Africa Cup of Nations,1,,-,,-,-,,,,,-
40,Abdallah Said,"Africa-CAF-Champions-League""><span class=""ui-icon country flg-caf""></span>CAF Champions League</a><a class=""team-link info"" href=""/Teams/4869/Show/Egypt-Al-Ahly""><span> Al Ahly</span></a></td>   <td>5</td><td class=""minsPlayed   ""><span class=""not-available"">N/A</span>	</td><td class=""goal   "">-	</td><td class=""assistTotal   ""><span class=""not-available"">N/A</span>	</td><td class=""yellowCard   "">-	</td><td class=""redCard   "">-	</td><td class=""shotsPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""passSuccess   ""><span class=""not-available"">N/A</span>	</td><td class=""aerialWonPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""manOfTheMatch   ",CAF Champions League Al Ahly,5,,-,,-,-,,,,,-
41,Abdallah Said,"International-Int-Friendly""><span class=""ui-icon country flg-cint""></span>Int. Friendly</a></td>   <td>2(2)</td><td class=""minsPlayed   ""><span class=""not-available"">N/A</span>	</td><td class=""goal   "">-	</td><td class=""assistTotal   ""><span class=""not-available"">N/A</span>	</td><td class=""yellowCard   "">-	</td><td class=""redCard   "">-	</td><td class=""shotsPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""passSuccess   ""><span class=""not-available"">N/A</span>	</td><td class=""aerialWonPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""manOfTheMatch   ",Int. Friendly,2(2),,-,,-,-,,,,,-
42,Shikabala,"International-Int-Friendly""><span class=""ui-icon country flg-cint""></span>Int. Friendly</a><a class=""team-link info"" href=""/Teams/944/Show/Egypt-Egypt""><span> Egypt</span></a></td>   <td>1(3)</td><td class=""minsPlayed   ""><span class=""not-available"">N/A</span>	</td><td class=""goal   "">-	</td><td class=""assistTotal   ""><span class=""not-available"">N/A</span>	</td><td class=""yellowCard   "">-	</td><td class=""redCard   "">-	</td><td class=""shotsPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""passSuccess   ""><span class=""not-available"">N/A</span>	</td><td class=""aerialWonPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""manOfTheMatch   ",Int. Friendly Egypt,1(3),,-,,-,-,,,,,-
43,Shikabala,"Africa-CAF-Champions-League""><span class=""ui-icon country flg-caf""></span>CAF Champions League</a><a class=""team-link info"" href=""/Teams/4669/Show/Egypt-El-Zamalek""><span> El Zamalek</span></a></td>   <td>6</td><td class=""minsPlayed   ""><span class=""not-available"">N/A</span>	</td><td class=""goal   "">-	</td><td class=""assistTotal   ""><span class=""not-available"">N/A</span>	</td><td class=""yellowCard   "">-	</td><td class=""redCard   "">-	</td><td class=""shotsPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""passSuccess   ""><span class=""not-available"">N/A</span>	</td><td class=""aerialWonPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""manOfTheMatch   ",CAF Champions League El Zamalek,6,,-,,-,-,,,,,-
44,Shikabala,"Saudi-Arabia-1-Division""><span class=""ui-icon country flg-sa""></span>1. Division</a></td>   <td>17(4)</td><td class=""minsPlayed   ""><span class=""not-available"">N/A</span>	</td><td class=""goal   "">9	</td><td class=""assistTotal   ""><span class=""not-available"">N/A</span>	</td><td class=""yellowCard   "">2	</td><td class=""redCard   "">-	</td><td class=""shotsPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""passSuccess   ""><span class=""not-available"">N/A</span>	</td><td class=""aerialWonPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""manOfTheMatch   ",1. Division,17(4),,9,,2,-,,,,,-
45,Omar Hawsawi,"International-Int-Friendly""><span class=""ui-icon country flg-cint""></span>Int. Friendly</a><a class=""team-link info"" href=""/Teams/494/Show/Saudi-Arabia-Saudi-Arabia""><span> Saudi Arabia</span></a></td>   <td>5</td><td class=""minsPlayed   ""><span class=""not-available"">N/A</span>	</td><td class=""goal   "">1	</td><td class=""assistTotal   ""><span class=""not-available"">N/A</span>	</td><td class=""yellowCard   "">-	</td><td class=""redCard   "">-	</td><td class=""shotsPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""passSuccess   ""><span class=""not-available"">N/A</span>	</td><td class=""aerialWonPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""manOfTheMatch   ",Int. Friendly Saudi Arabia,5,,1,,-,-,,,,,-
46,Omar Hawsawi,"Saudi-Arabia-1-Division""><span class=""ui-icon country flg-sa""></span>1. Division</a></td>   <td>22</td><td class=""minsPlayed   ""><span class=""not-available"">N/A</span>	</td><td class=""goal   "">-	</td><td class=""assistTotal   ""><span class=""not-available"">N/A</span>	</td><td class=""yellowCard   "">1	</td><td class=""redCard   "">1	</td><td class=""shotsPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""passSuccess   ""><span class=""not-available"">N/A</span>	</td><td class=""aerialWonPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""manOfTheMatch   ",1. Division,22,,-,,1,1,,,,,-
47,Abdulmalek Al-Khaibri,"Saudi-Arabia-1-Division""><span class=""ui-icon country flg-sa""></span>1. Division</a></td>   <td>5(4)</td><td class=""minsPlayed   ""><span class=""not-available"">N/A</span>	</td><td class=""goal   "">-	</td><td class=""assistTotal   ""><span class=""not-available"">N/A</span>	</td><td class=""yellowCard   "">1	</td><td class=""redCard   "">-	</td><td class=""shotsPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""passSuccess   ""><span class=""not-available"">N/A</span>	</td><td class=""aerialWonPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""manOfTheMatch   ",1. Division,5(4),,-,,1,-,,,,,-
48,Abdulmalek Al-Khaibri,"Asia-AFC-Champions-League""><span class=""ui-icon country flg-cas""></span>AFC Champions League</a></td>   <td>2(4)</td><td class=""minsPlayed   ""><span class=""not-available"">N/A</span>	</td><td class=""goal   "">-	</td><td class=""assistTotal   ""><span class=""not-available"">N/A</span>	</td><td class=""yellowCard   "">-	</td><td class=""redCard   "">-	</td><td class=""shotsPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""passSuccess   ""><span class=""not-available"">N/A</span>	</td><td class=""aerialWonPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""manOfTheMatch   ",AFC Champions League,2(4),,-,,-,-,,,,,-
49,Abdulmalek Al-Khaibri,"International-Int-Friendly""><span class=""ui-icon country flg-cint""></span>Int. Friendly</a><a class=""team-link info"" href=""/Teams/494/Show/Saudi-Arabia-Saudi-Arabia""><span> Saudi Arabia</span></a></td>   <td>0(2)</td><td class=""minsPlayed   ""><span class=""not-available"">N/A</span>	</td><td class=""goal   "">-	</td><td class=""assistTotal   ""><span class=""not-available"">N/A</span>	</td><td class=""yellowCard   "">-	</td><td class=""redCard   "">-	</td><td class=""shotsPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""passSuccess   ""><span class=""not-available"">N/A</span>	</td><td class=""aerialWonPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""manOfTheMatch   ",Int. Friendly Saudi Arabia,0(2),,-,,-,-,,,,,-
50,José Carvallo,"International-Int-Friendly""><span class=""ui-icon country flg-cint""></span>Int. Friendly</a><a class=""team-link info"" href=""/Teams/416/Show/Peru-Peru""><span> Peru</span></a></td>   <td>1</td><td class=""minsPlayed   ""><span class=""not-available"">N/A</span>	</td><td class=""goal   "">-	</td><td class=""assistTotal   ""><span class=""not-available"">N/A</span>	</td><td class=""yellowCard   "">-	</td><td class=""redCard   "">-	</td><td class=""shotsPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""passSuccess   ""><span class=""not-available"">N/A</span>	</td><td class=""aerialWonPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""manOfTheMatch   ",Int. Friendly Peru,1,,-,,-,-,,,,,-
51,José Carvallo,"South-America-Copa-Sudamericana""><span class=""ui-icon country flg-csa""></span>Copa Sudamericana</a></td>   <td>2</td><td class=""minsPlayed   ""><span class=""not-available"">N/A</span>	</td><td class=""goal   "">-	</td><td class=""assistTotal   ""><span class=""not-available"">N/A</span>	</td><td class=""yellowCard   "">-	</td><td class=""redCard   "">-	</td><td class=""shotsPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""passSuccess   ""><span class=""not-available"">N/A</span>	</td><td class=""aerialWonPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""manOfTheMatch   ",Copa Sudamericana,2,,-,,-,-,,,,,-
52,Nahuel Guzmán,"Mexico-Primera-Division""><span class=""ui-icon country flg-mx""></span>Primera Division</a></td>   <td>2</td><td class=""minsPlayed   ""><span class=""not-available"">N/A</span>	</td><td class=""goal   "">-	</td><td class=""assistTotal   ""><span class=""not-available"">N/A</span>	</td><td class=""yellowCard   "">-	</td><td class=""redCard   "">-	</td><td class=""shotsPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""passSuccess   ""><span class=""not-available"">N/A</span>	</td><td class=""aerialWonPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""manOfTheMatch   ",Primera Division,2,,-,,-,-,,,,,-
53,Nahuel Guzmán,"North-amp-Central-America-CONCACAF-Champions-Cup""><span class=""ui-icon country flg-cna""></span>CONCACAF Champions Cup</a></td>   <td>5</td><td class=""minsPlayed   ""><span class=""not-available"">N/A</span>	</td><td class=""goal   "">-	</td><td class=""assistTotal   ""><span class=""not-available"">N/A</span>	</td><td class=""yellowCard   "">-	</td><td class=""redCard   "">-	</td><td class=""shotsPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""passSuccess   ""><span class=""not-available"">N/A</span>	</td><td class=""aerialWonPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""manOfTheMatch   ",CONCACAF Champions Cup,5,,-,,-,-,,,,,-
54,Masaaki Higashiguchi,"Japan-J-League""><span class=""ui-icon country flg-jp""></span>J- League</a></td>   <td>33</td><td class=""minsPlayed   ""><span class=""not-available"">N/A</span>	</td><td class=""goal   "">-	</td><td class=""assistTotal   ""><span class=""not-available"">N/A</span>	</td><td class=""yellowCard   "">3	</td><td class=""redCard   "">-	</td><td class=""shotsPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""passSuccess   ""><span class=""not-available"">N/A</span>	</td><td class=""aerialWonPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""manOfTheMatch   ",J- League,33,,-,,3,-,,,,,-
55,Masaaki Higashiguchi,"Asia-AFC-Champions-League""><span class=""ui-icon country flg-cas""></span>AFC Champions League</a></td>   <td>5</td><td class=""minsPlayed   ""><span class=""not-available"">N/A</span>	</td><td class=""goal   "">-	</td><td class=""assistTotal   ""><span class=""not-available"">N/A</span>	</td><td class=""yellowCard   "">-	</td><td class=""redCard   "">-	</td><td class=""shotsPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""passSuccess   ""><span class=""not-available"">N/A</span>	</td><td class=""aerialWonPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""manOfTheMatch   ",AFC Champions League,5,,-,,-,-,,,,,-
56,Daniel Akpeyi,"South-Africa-Premier-Soccer-League""><span class=""ui-icon country flg-za""></span>Premier Soccer League</a></td>   <td>23</td><td class=""minsPlayed   ""><span class=""not-available"">N/A</span>	</td><td class=""goal   "">-	</td><td class=""assistTotal   ""><span class=""not-available"">N/A</span>	</td><td class=""yellowCard   "">1	</td><td class=""redCard   "">1	</td><td class=""shotsPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""passSuccess   ""><span class=""not-available"">N/A</span>	</td><td class=""aerialWonPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""manOfTheMatch   ",Premier Soccer League,23,,-,,1,1,,,,,-
57,Daniel Akpeyi,"International-Africa-Cup-of-Nations""><span class=""ui-icon country flg-cint""></span>Africa Cup of Nations</a><a class=""team-link info"" href=""/Teams/977/Show/Nigeria-Nigeria""><span> Nigeria</span></a></td>   <td>1</td><td class=""minsPlayed   ""><span class=""not-available"">N/A</span>	</td><td class=""goal   "">-	</td><td class=""assistTotal   ""><span class=""not-available"">N/A</span>	</td><td class=""yellowCard   "">-	</td><td class=""redCard   "">-	</td><td class=""shotsPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""passSuccess   ""><span class=""not-available"">N/A</span>	</td><td class=""aerialWonPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""manOfTheMatch   ",Africa Cup of Nations Nigeria,1,,-,,-,-,,,,,-
58,Lee Yong,"South-Korea-K2-League""><span class=""ui-icon country flg-kr""></span>K2 League</a></td>   <td>0(1)</td><td class=""minsPlayed   ""><span class=""not-available"">N/A</span>	</td><td class=""goal   "">-	</td><td class=""assistTotal   ""><span class=""not-available"">N/A</span>	</td><td class=""yellowCard   "">-	</td><td class=""redCard   "">-	</td><td class=""shotsPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""passSuccess   ""><span class=""not-available"">N/A</span>	</td><td class=""aerialWonPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""manOfTheMatch   ",K2 League,0(1),,-,,-,-,,,,,-
59,Lee Yong,"South-Korea-K-League""><span class=""ui-icon country flg-kr""></span>K. League</a><a class=""team-link info"" href=""/Teams/7331/Show/South-Korea-Gangwon-FC""><span> Gangwon FC</span></a></td>   <td>0(1)</td><td class=""minsPlayed   ""><span class=""not-available"">N/A</span>	</td><td class=""goal   "">-	</td><td class=""assistTotal   ""><span class=""not-available"">N/A</span>	</td><td class=""yellowCard   "">-	</td><td class=""redCard   "">-	</td><td class=""shotsPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""passSuccess   ""><span class=""not-available"">N/A</span>	</td><td class=""aerialWonPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""manOfTheMatch   ",K. League Gangwon FC,0(1),,-,,-,-,,,,,-
60,Vahid Amiri,"International-Int-Friendly""><span class=""ui-icon country flg-cint""></span>Int. Friendly</a><a class=""team-link info"" href=""/Teams/1293/Show/Iran-Iran""><span> Iran</span></a></td>   <td>1(3)</td><td class=""minsPlayed   ""><span class=""not-available"">N/A</span>	</td><td class=""goal   "">-	</td><td class=""assistTotal   ""><span class=""not-available"">N/A</span>	</td><td class=""yellowCard   "">-	</td><td class=""redCard   "">-	</td><td class=""shotsPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""passSuccess   ""><span class=""not-available"">N/A</span>	</td><td class=""aerialWonPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""manOfTheMatch   ",Int. Friendly Iran,1(3),,-,,-,-,,,,,-
61,Vahid Amiri,"Asia-AFC-Champions-League""><span class=""ui-icon country flg-cas""></span>AFC Champions League</a></td>   <td>6</td><td class=""minsPlayed   ""><span class=""not-available"">N/A</span>	</td><td class=""goal   "">-	</td><td class=""assistTotal   ""><span class=""not-available"">N/A</span>	</td><td class=""yellowCard   "">-	</td><td class=""redCard   "">-	</td><td class=""shotsPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""passSuccess   ""><span class=""not-available"">N/A</span>	</td><td class=""aerialWonPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""manOfTheMatch   ",AFC Champions League,6,,-,,-,-,,,,,-
62,Omid Ebrahimi,"International-Int-Friendly""><span class=""ui-icon country flg-cint""></span>Int. Friendly</a><a class=""team-link info"" href=""/Teams/1293/Show/Iran-Iran""><span> Iran</span></a></td>   <td>1(3)</td><td class=""minsPlayed   ""><span class=""not-available"">N/A</span>	</td><td class=""goal   "">-	</td><td class=""assistTotal   ""><span class=""not-available"">N/A</span>	</td><td class=""yellowCard   "">-	</td><td class=""redCard   "">-	</td><td class=""shotsPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""passSuccess   ""><span class=""not-available"">N/A</span>	</td><td class=""aerialWonPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""manOfTheMatch   ",Int. Friendly Iran,1(3),,-,,-,-,,,,,-
63,Omid Ebrahimi,"Asia-AFC-Champions-League""><span class=""ui-icon country flg-cas""></span>AFC Champions League</a></td>   <td>6</td><td class=""minsPlayed   ""><span class=""not-available"">N/A</span>	</td><td class=""goal   "">1	</td><td class=""assistTotal   ""><span class=""not-available"">N/A</span>	</td><td class=""yellowCard   "">-	</td><td class=""redCard   "">-	</td><td class=""shotsPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""passSuccess   ""><span class=""not-available"">N/A</span>	</td><td class=""aerialWonPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""manOfTheMatch   ",AFC Champions League,6,,1,,-,-,,,,,-
64,Jesús Molina,"Mexico-Primera-Division""><span class=""ui-icon country flg-mx""></span>Primera Division</a></td>   <td>2</td><td class=""minsPlayed   ""><span class=""not-available"">N/A</span>	</td><td class=""goal   "">-	</td><td class=""assistTotal   ""><span class=""not-available"">N/A</span>	</td><td class=""yellowCard   "">-	</td><td class=""redCard   "">-	</td><td class=""shotsPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""passSuccess   ""><span class=""not-available"">N/A</span>	</td><td class=""aerialWonPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""manOfTheMatch   ",Primera Division,2,,-,,-,-,,,,,-
65,Jesús Molina,"International-Int-Friendly""><span class=""ui-icon country flg-cint""></span>Int. Friendly</a><a class=""team-link info"" href=""/Teams/972/Show/Mexico-Mexico""><span> Mexico</span></a></td>   <td>2(2)</td><td class=""minsPlayed   ""><span class=""not-available"">N/A</span>	</td><td class=""goal   "">-	</td><td class=""assistTotal   ""><span class=""not-available"">N/A</span>	</td><td class=""yellowCard   "">-	</td><td class=""redCard   "">-	</td><td class=""shotsPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""passSuccess   ""><span class=""not-available"">N/A</span>	</td><td class=""aerialWonPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""manOfTheMatch   ",Int. Friendly Mexico,2(2),,-,,-,-,,,,,-
66,Kim Jin-hyeon,"Japan-Cup""><span class=""ui-icon country flg-jp""></span>Cup</a></td>   <td>2</td><td class=""minsPlayed   ""><span class=""not-available"">N/A</span>	</td><td class=""goal   "">-	</td><td class=""assistTotal   ""><span class=""not-available"">N/A</span>	</td><td class=""yellowCard   "">-	</td><td class=""redCard   "">-	</td><td class=""shotsPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""passSuccess   ""><span class=""not-available"">N/A</span>	</td><td class=""aerialWonPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""manOfTheMatch   ",Cup,2,,-,,-,-,,,,,-
67,Kim Jin-hyeon,"Japan-J-League""><span class=""ui-icon country flg-jp""></span>J- League</a></td>   <td>31</td><td class=""minsPlayed   ""><span class=""not-available"">N/A</span>	</td><td class=""goal   "">-	</td><td class=""assistTotal   ""><span class=""not-available"">N/A</span>	</td><td class=""yellowCard   "">2	</td><td class=""redCard   "">-	</td><td class=""shotsPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""passSuccess   ""><span class=""not-available"">N/A</span>	</td><td class=""aerialWonPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""manOfTheMatch   ",J- League,31,,-,,2,-,,,,,-
68,Kim Jin-hyeon,"Japan-Cup""><span class=""ui-icon country flg-jp""></span>Cup</a></td>   <td>1</td><td class=""minsPlayed   ""><span class=""not-available"">N/A</span>	</td><td class=""goal   "">-	</td><td class=""assistTotal   ""><span class=""not-available"">N/A</span>	</td><td class=""yellowCard   "">-	</td><td class=""redCard   "">-	</td><td class=""shotsPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""passSuccess   ""><span class=""not-available"">N/A</span>	</td><td class=""aerialWonPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""manOfTheMatch   ",Cup,1,,-,,-,-,,,,,-
69,Oh Ban-suk,"South-Korea-K-League""><span class=""ui-icon country flg-kr""></span>K. League</a></td>   <td>33</td><td class=""minsPlayed   ""><span class=""not-available"">N/A</span>	</td><td class=""goal   "">2	</td><td class=""assistTotal   ""><span class=""not-available"">N/A</span>	</td><td class=""yellowCard   "">-	</td><td class=""redCard   "">-	</td><td class=""shotsPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""passSuccess   ""><span class=""not-available"">N/A</span>	</td><td class=""aerialWonPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""manOfTheMatch   ",K. League,33,,2,,-,-,,,,,-
70,Oh Ban-suk,"International-Int-Friendly""><span class=""ui-icon country flg-cint""></span>Int. Friendly</a><a class=""team-link info"" href=""/Teams/1159/Show/South-Korea-South-Korea""><span> South Korea</span></a></td>   <td>1(1)</td><td class=""minsPlayed   ""><span class=""not-available"">N/A</span>	</td><td class=""goal   "">-	</td><td class=""assistTotal   ""><span class=""not-available"">N/A</span>	</td><td class=""yellowCard   "">-	</td><td class=""redCard   "">-	</td><td class=""shotsPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""passSuccess   ""><span class=""not-available"">N/A</span>	</td><td class=""aerialWonPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""manOfTheMatch   ",Int. Friendly South Korea,1(1),,-,,-,-,,,,,-
71,Oh Ban-suk,"Asia-AFC-Champions-League""><span class=""ui-icon country flg-cas""></span>AFC Champions League</a></td>   <td>4</td><td class=""minsPlayed   ""><span class=""not-available"">N/A</span>	</td><td class=""goal   "">-	</td><td class=""assistTotal   ""><span class=""not-available"">N/A</span>	</td><td class=""yellowCard   "">-	</td><td class=""redCard   "">-	</td><td class=""shotsPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""passSuccess   ""><span class=""not-available"">N/A</span>	</td><td class=""aerialWonPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""manOfTheMatch   ",AFC Champions League,4,,-,,-,-,,,,,-
72,Bilel Mohsni,,Scottish Championship,10,,3,,1,-,,,,,-
73,Óscar Murillo,"International-FIFA-Club-World-Cup""><span class=""ui-icon country flg-cint""></span>FIFA Club World Cup</a></td>   <td>3</td><td class=""minsPlayed   ""><span class=""not-available"">N/A</span>	</td><td class=""goal   "">-	</td><td class=""assistTotal   ""><span class=""not-available"">N/A</span>	</td><td class=""yellowCard   "">-	</td><td class=""redCard   "">-	</td><td class=""shotsPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""passSuccess   ""><span class=""not-available"">N/A</span>	</td><td class=""aerialWonPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""manOfTheMatch   ",FIFA Club World Cup,3,,-,,-,-,,,,,-
74,Óscar Murillo,"North-amp-Central-America-CONCACAF-Champions-Cup""><span class=""ui-icon country flg-cna""></span>CONCACAF Champions Cup</a></td>   <td>6</td><td class=""minsPlayed   ""><span class=""not-available"">N/A</span>	</td><td class=""goal   "">-	</td><td class=""assistTotal   ""><span class=""not-available"">N/A</span>	</td><td class=""yellowCard   "">-	</td><td class=""redCard   "">-	</td><td class=""shotsPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""passSuccess   ""><span class=""not-available"">N/A</span>	</td><td class=""aerialWonPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""manOfTheMatch   ",CONCACAF Champions Cup,6,,-,,-,-,,,,,-
75,Óscar Murillo,"International-Int-Friendly""><span class=""ui-icon country flg-cint""></span>Int. Friendly</a><a class=""team-link info"" href=""/Teams/408/Show/Colombia-Colombia""><span> Colombia</span></a></td>   <td>1(1)</td><td class=""minsPlayed   ""><span class=""not-available"">N/A</span>	</td><td class=""goal   "">-	</td><td class=""assistTotal   ""><span class=""not-available"">N/A</span>	</td><td class=""yellowCard   "">-	</td><td class=""redCard   "">-	</td><td class=""shotsPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""passSuccess   ""><span class=""not-available"">N/A</span>	</td><td class=""aerialWonPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""manOfTheMatch   ",Int. Friendly Colombia,1(1),,-,,-,-,,,,,-
76,Óscar Murillo,"Mexico-Primera-Division""><span class=""ui-icon country flg-mx""></span>Primera Division</a></td>   <td>12</td><td class=""minsPlayed   ""><span class=""not-available"">N/A</span>	</td><td class=""goal   "">1	</td><td class=""assistTotal   ""><span class=""not-available"">N/A</span>	</td><td class=""yellowCard   "">-	</td><td class=""redCard   "">-	</td><td class=""shotsPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""passSuccess   ""><span class=""not-available"">N/A</span>	</td><td class=""aerialWonPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""manOfTheMatch   ",Primera Division,12,,1,,-,-,,,,,-
77,Saad Samir,"International-Int-Friendly""><span class=""ui-icon country flg-cint""></span>Int. Friendly</a><a class=""team-link info"" href=""/Teams/944/Show/Egypt-Egypt""><span> Egypt</span></a></td>   <td>2</td><td class=""minsPlayed   ""><span class=""not-available"">N/A</span>	</td><td class=""goal   "">-	</td><td class=""assistTotal   ""><span class=""not-available"">N/A</span>	</td><td class=""yellowCard   "">-	</td><td class=""redCard   "">-	</td><td class=""shotsPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""passSuccess   ""><span class=""not-available"">N/A</span>	</td><td class=""aerialWonPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""manOfTheMatch   ",Int. Friendly Egypt,2,,-,,-,-,,,,,-
78,Saad Samir,"Africa-CAF-Champions-League""><span class=""ui-icon country flg-caf""></span>CAF Champions League</a></td>   <td>5</td><td class=""minsPlayed   ""><span class=""not-available"">N/A</span>	</td><td class=""goal   "">1	</td><td class=""assistTotal   ""><span class=""not-available"">N/A</span>	</td><td class=""yellowCard   "">-	</td><td class=""redCard   "">-	</td><td class=""shotsPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""passSuccess   ""><span class=""not-available"">N/A</span>	</td><td class=""aerialWonPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""manOfTheMatch   ",CAF Champions League,5,,1,,-,-,,,,,-
79,Tarek Hamed,"International-Int-Friendly""><span class=""ui-icon country flg-cint""></span>Int. Friendly</a></td>   <td>3</td><td class=""minsPlayed   ""><span class=""not-available"">N/A</span>	</td><td class=""goal   "">-	</td><td class=""assistTotal   ""><span class=""not-available"">N/A</span>	</td><td class=""yellowCard   "">-	</td><td class=""redCard   "">-	</td><td class=""shotsPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""passSuccess   ""><span class=""not-available"">N/A</span>	</td><td class=""aerialWonPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""manOfTheMatch   ",Int. Friendly,3,,-,,-,-,,,,,-
80,Tarek Hamed,"International-Africa-Cup-of-Nations""><span class=""ui-icon country flg-cint""></span>Africa Cup of Nations</a></td>   <td>1</td><td class=""minsPlayed   ""><span class=""not-available"">N/A</span>	</td><td class=""goal   "">-	</td><td class=""assistTotal   ""><span class=""not-available"">N/A</span>	</td><td class=""yellowCard   "">-	</td><td class=""redCard   "">-	</td><td class=""shotsPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""passSuccess   ""><span class=""not-available"">N/A</span>	</td><td class=""aerialWonPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""manOfTheMatch   ",Africa Cup of Nations,1,,-,,-,-,,,,,-
