,Player,Season,Team,Tournament-fullname,Tournament,Apps,Mins,Total_Goals,SixYardBox,PenaltyArea,OutOfBox,Rating
718,Blerim Džemaili,2011/2012,Napoli,Italy-Serie-A,ISA,28,1956,3,-,1,2,6.93
719,Blerim Džemaili,2011/2012,Napoli,Europe-UEFA-Champions-League,UCL,6,183,-,-,-,-,6.2
720,Blerim Džemaili,2010/2011,Parma,Italy-Serie-A,ISA,30,2225,1,-,1,-,7.04
721,Blerim Džemaili,2009/2010,Parma,Italy-Serie-A,ISA,19,1368,-,-,-,-,6.97
722,Haris Seferović,2017/2018,Benfica,Portugal-Liga-NOS,PLN,20,832,4,3,1,-,6.54
723,Haris Seferović,2017/2018,Benfica,Europe-UEFA-Champions-League,UCL,4,219,1,1,-,-,6.31
724,Haris Seferović,2016/2017,Eintracht Fra..,Germany-Bundesliga,GB,25,1061,3,1,1,1,6.28
725,Haris Seferović,2015/2016,Eintracht Fra..,Germany-Bundesliga,GB,29,2211,3,-,3,-,6.68
726,Haris Seferović,2014/2015,Eintracht Fra..,Germany-Bundesliga,GB,32,2850,10,3,7,-,7.12
727,Haris Seferović,2016,Switzerland,International-European-Championship,UEC,4,260,-,-,-,-,6.52
728,Haris Seferović,2013/2014,Real Sociedad,Spain-La-Liga,SLL,23,849,2,-,2,-,6.42
729,Haris Seferović,2013/2014,Real Sociedad,Europe-UEFA-Champions-League,UCL,6,251,-,-,-,-,6.15
730,Haris Seferović,2014,Switzerland,International-FIFA-World-Cup,WC,4,111,1,1,-,-,6.12
731,Haris Seferović,2012/2013,Fiorentina,Italy-Serie-A,ISA,7,183,-,-,-,-,6.2
732,Haris Seferović,2011/2012,Lecce,Italy-Serie-A,ISA,5,137,-,-,-,-,6.09
733,Haris Seferović,2010/2011,Fiorentina,Italy-Serie-A,ISA,1,11,-,-,-,-,6.13
734,Josip Drmić,2017/2018,Borussia M.Gl..,Germany-Bundesliga,GB,13,463,4,1,3,-,6.39
735,Josip Drmić,2016/2017,Borussia M.Gl..,Germany-Bundesliga,GB,12,276,-,-,-,-,6.16
736,Josip Drmić,2016/2017,Borussia M.Gl..,Europe-UEFA-Europa-League,UEL,3,171,-,-,-,-,6.67
737,Josip Drmić,2015/2016,Hamburger SV,Germany-Bundesliga,GB,6,420,1,1,-,-,6.73
738,Josip Drmić,2015/2016,Borussia M.Gl..,Germany-Bundesliga,GB,13,441,1,-,1,-,6.16
739,Josip Drmić,2015/2016,Borussia M.Gl..,Europe-UEFA-Champions-League,UCL,3,102,-,-,-,-,6.09
740,Josip Drmić,2014/2015,Bayer Leverku..,Germany-Bundesliga,GB,25,794,6,1,5,-,6.41
741,Josip Drmić,2014/2015,Bayer Leverku..,Europe-UEFA-Champions-League,UCL,7,316,-,-,-,-,6.2
742,Josip Drmić,2013/2014,Nuernberg,Germany-Bundesliga,GB,33,2666,17,1,16,-,7.08
743,Josip Drmić,2014,Switzerland,International-FIFA-World-Cup,WC,4,252,-,-,-,-,6.91
744,Mario Gavranović,2017/2018,Rijeka,Europe-UEFA-Europa-League,UEL,4,311,3,-,2,1,7.24
745,Mario Gavranović,2011/2012,Mainz 05,Germany-Bundesliga,GB,5,137,-,-,-,-,6.06
746,Mario Gavranović,2010/2011,Schalke 04,Germany-Bundesliga,GB,8,307,-,-,-,-,6.18
747,Mario Gavranović,2010/2011,Schalke 04,Europe-UEFA-Champions-League,UCL,1,90,1,1,-,-,9.07
748,Mario Gavranović,2009/2010,Schalke 04,Germany-Bundesliga,GB,2,76,-,-,-,-,6.42
749,Rafael Márquez,2015/2016,Verona,Italy-Serie-A,ISA,9,759,-,-,-,-,6.53
750,Rafael Márquez,2015,Mexico,International-Copa-America,ICA,1,64,-,-,-,-,7.15
751,Rafael Márquez,2014/2015,Verona,Italy-Serie-A,ISA,26,2218,-,-,-,-,6.79
752,Rafael Márquez,2014,Mexico,International-FIFA-World-Cup,WC,4,360,1,-,1,-,7.38
753,Rafael Márquez,2009/2010,Barcelona,Spain-La-Liga,SLL,15,763,1,-,-,1,6.64
754,Rafael Márquez,2009/2010,Barcelona,Europe-UEFA-Champions-League,UCL,3,172,-,-,-,-,6.38
755,Tim Cahill,2017/2018,Millwall,England-Championship,EC,10,65,-,-,-,-,6.0
756,Tim Cahill,2016,Zhejiang Gree..,China-Super-league,CSl,17,1372,4,-,4,-,6.96
757,Tim Cahill,2014,New York Red ..,USA-Major-League-Soccer,UMLS,28,1753,3,1,2,-,6.68
758,Tim Cahill,2014,Australia,International-FIFA-World-Cup,WC,2,158,2,1,1,-,7.28
759,Tim Cahill,2013,New York Red ..,USA-Major-League-Soccer,UMLS,29,2426,12,-,11,1,7.63
760,Tim Cahill,2011/2012,Everton,England-Premier-League,EPL,35,2353,2,1,1,-,6.54
761,Tim Cahill,2010/2011,Everton,England-Premier-League,EPL,27,2016,9,4,5,-,6.99
762,Tim Cahill,2009/2010,Everton,England-Premier-League,EPL,33,2870,8,3,5,-,7.26
763,Sergei Ignashevich,2017/2018,CSKA Moscow,Europe-UEFA-Europa-League,UEL,5,450,-,-,-,-,6.92
764,Sergei Ignashevich,2017/2018,CSKA Moscow,Europe-UEFA-Champions-League,UCL,4,316,-,-,-,-,6.7
765,Sergei Ignashevich,2017/2018,CSKA Moscow,Russia-Premier-League,RPL,25,2073,1,-,1,-,7.11
766,Sergei Ignashevich,2016/2017,CSKA Moscow,Russia-Premier-League,RPL,24,1970,4,-,3,1,7.22
767,Sergei Ignashevich,2016/2017,CSKA Moscow,Europe-UEFA-Champions-League,UCL,4,360,-,-,-,-,6.82
768,Sergei Ignashevich,2015/2016,CSKA Moscow,Russia-Premier-League,RPL,25,2161,3,1,1,1,7.06
769,Sergei Ignashevich,2015/2016,CSKA Moscow,Europe-UEFA-Champions-League,UCL,6,496,1,-,1,-,6.72
770,Sergei Ignashevich,2014/2015,CSKA Moscow,Europe-UEFA-Champions-League,UCL,6,540,-,-,-,-,6.64
771,Sergei Ignashevich,2014/2015,CSKA Moscow,Russia-Premier-League,RPL,30,2700,-,-,-,-,7.1
772,Sergei Ignashevich,2016,Russia,International-European-Championship,UEC,3,270,-,-,-,-,6.36
773,Sergei Ignashevich,2013/2014,CSKA Moscow,Europe-UEFA-Champions-League,UCL,6,540,-,-,-,-,6.2
774,Sergei Ignashevich,2013/2014,CSKA Moscow,Russia-Premier-League,RPL,30,2700,2,2,-,-,7.22
775,Sergei Ignashevich,2014,Russia,International-FIFA-World-Cup,WC,3,270,-,-,-,-,7.41
776,Sergei Ignashevich,2012,Russia,International-European-Championship,UEC,3,270,-,-,-,-,6.85
777,Sergei Ignashevich,2011/2012,CSKA Moscow,Europe-UEFA-Champions-League,UCL,8,704,-,-,-,-,6.77
778,Sergei Ignashevich,2009/2010,CSKA Moscow,Europe-UEFA-Champions-League,UCL,9,810,-,-,-,-,7.22
779,Blas Pérez,2016,Vancouver Whi..,USA-Major-League-Soccer,UMLS,22,755,2,1,1,-,6.37
780,Blas Pérez,2015,FC Dallas,USA-Major-League-Soccer,UMLS,26,1339,6,3,3,-,6.65
781,Blas Pérez,2014,FC Dallas,USA-Major-League-Soccer,UMLS,32,2305,11,3,7,1,7.05
782,Blas Pérez,2013,FC Dallas,USA-Major-League-Soccer,UMLS,25,2020,11,1,8,2,7.12
783,Beto,2017/2018,Goztepe,Turkey-Super-Lig,TS,30,2656,-,-,-,-,6.91
784,Beto,2016/2017,Sporting CP,Portugal-Liga-NOS,PLN,3,270,-,-,-,-,7.18
785,Beto,2015/2016,Sevilla,Spain-La-Liga,SLL,4,360,-,-,-,-,6.58
786,Beto,2014/2015,Sevilla,Spain-La-Liga,SLL,18,1449,-,-,-,-,6.45
787,Beto,2014/2015,Sevilla,Europe-UEFA-Europa-League,UEL,5,406,-,-,-,-,6.47
788,Beto,2013/2014,Sevilla,Spain-La-Liga,SLL,33,2927,-,-,-,-,6.76
789,Beto,2013/2014,Sevilla,Europe-UEFA-Europa-League,UEL,7,630,-,-,-,-,6.88
790,Beto,2014,Portugal,International-FIFA-World-Cup,WC,2,179,-,-,-,-,6.72
791,Beto,2012/2013,Sevilla,Spain-La-Liga,SLL,14,1260,-,-,-,-,6.83
792,Beto,2012/2013,Braga,Europe-UEFA-Champions-League,UCL,5,450,-,-,-,-,6.33
793,Beto,2009/2010,FC Porto,Europe-UEFA-Champions-League,UCL,1,90,-,-,-,-,6.07
794,Bruno Alves,2016/2017,Cagliari,Italy-Serie-A,ISA,36,3240,1,-,-,1,6.72
795,Bruno Alves,2015/2016,Fenerbahce,Turkey-Super-Lig,TS,26,2340,1,-,-,1,7.06
796,Bruno Alves,2015/2016,Fenerbahce,Europe-UEFA-Europa-League,UEL,9,810,-,-,-,-,6.89
797,Bruno Alves,2014/2015,Fenerbahce,Turkey-Super-Lig,TS,24,1973,-,-,-,-,6.86
798,Bruno Alves,2016,Portugal,International-European-Championship,UEC,1,90,-,-,-,-,6.92
799,Bruno Alves,2014,Portugal,International-FIFA-World-Cup,WC,3,270,-,-,-,-,6.76
800,Bruno Alves,2012/2013,Zenit St. Pet..,Europe-UEFA-Europa-League,UEL,1,73,-,-,-,-,7.74
801,Bruno Alves,2012/2013,Zenit St. Pet..,Europe-UEFA-Champions-League,UCL,5,305,-,-,-,-,6.6
802,Bruno Alves,2012,Portugal,International-European-Championship,UEC,5,450,-,-,-,-,6.46
803,Bruno Alves,2011/2012,Zenit St. Pet..,Europe-UEFA-Champions-League,UCL,5,301,-,-,-,-,6.32
804,Bruno Alves,2009/2010,FC Porto,Europe-UEFA-Champions-League,UCL,7,630,1,-,1,-,7.11
805,Brad Jones,2017/2018,Feyenoord,Europe-UEFA-Champions-League,UCL,5,450,-,-,-,-,5.95
806,Brad Jones,2017/2018,Feyenoord,Netherlands-Eredivisie,NE,31,2790,-,-,-,-,6.6
807,Brad Jones,2016/2017,Feyenoord,Netherlands-Eredivisie,NE,32,2880,-,-,-,-,6.88
808,Brad Jones,2016/2017,Feyenoord,Europe-UEFA-Europa-League,UEL,6,540,-,-,-,-,6.62
809,Brad Jones,2015/2016,NEC Nijmegen,Netherlands-Eredivisie,NE,17,1530,-,-,-,-,7.16
810,Brad Jones,2014/2015,Liverpool,England-Premier-League,EPL,3,196,-,-,-,-,6.2
811,Brad Jones,2012/2013,Liverpool,Europe-UEFA-Europa-League,UEL,3,270,-,-,-,-,6.54
812,Brad Jones,2012/2013,Liverpool,England-Premier-League,EPL,7,630,-,-,-,-,6.69
813,Brad Jones,2011/2012,Liverpool,England-Premier-League,EPL,1,64,-,-,-,-,7.55
814,Willy Caballero,2017/2018,Chelsea,England-Premier-League,EPL,3,270,-,-,-,-,6.65
815,Willy Caballero,2016/2017,Manchester Ci..,Europe-UEFA-Champions-League,UCL,5,393,-,-,-,-,6.59
816,Willy Caballero,2016/2017,Manchester Ci..,England-Premier-League,EPL,17,1451,-,-,-,-,6.69
817,Willy Caballero,2015/2016,Manchester Ci..,Europe-UEFA-Champions-League,UCL,1,9,-,-,-,-,6.01
818,Willy Caballero,2015/2016,Manchester Ci..,England-Premier-League,EPL,4,310,-,-,-,-,6.76
819,Willy Caballero,2014/2015,Manchester Ci..,England-Premier-League,EPL,2,180,-,-,-,-,6.62
820,Willy Caballero,2013/2014,Malaga,Spain-La-Liga,SLL,38,3420,-,-,-,-,6.94
821,Willy Caballero,2012/2013,Malaga,Spain-La-Liga,SLL,36,3194,-,-,-,-,6.87
822,Willy Caballero,2012/2013,Malaga,Europe-UEFA-Champions-League,UCL,9,810,-,-,-,-,7.1
823,Willy Caballero,2011/2012,Malaga,Spain-La-Liga,SLL,28,2403,-,-,-,-,6.7
824,Willy Caballero,2010/2011,Malaga,Spain-La-Liga,SLL,15,1347,-,-,-,-,7.16
825,Jaime Penedo,2015,LA Galaxy,USA-Major-League-Soccer,UMLS,16,1440,-,-,-,-,6.99
826,Jaime Penedo,2014,LA Galaxy,USA-Major-League-Soccer,UMLS,34,3060,-,-,-,-,6.83
827,Jaime Penedo,2013,LA Galaxy,USA-Major-League-Soccer,UMLS,11,990,-,-,-,-,6.87
828,Martín Silva,2018,Vasco da Gama,Brazil-Brasileirão,BSA,5,450,-,-,-,-,6.22
829,Martín Silva,2017,Vasco da Gama,Brazil-Brasileirão,BSA,35,3150,-,-,-,-,6.58
830,Martín Silva,2015,Vasco da Gama,Brazil-Brasileirão,BSA,21,1846,-,-,-,-,6.86
831,Martín Silva,2013,Uruguay,International-Confederations-Cup,ICC,1,90,-,-,-,-,7.27
832,Pepe,2017/2018,Besiktas,Turkey-Super-Lig,TS,23,2041,2,2,-,-,7.11
833,Pepe,2017/2018,Besiktas,Europe-UEFA-Champions-League,UCL,6,540,-,-,-,-,7.25
834,Pepe,2016/2017,Real Madrid,Spain-La-Liga,SLL,13,1081,2,-,2,-,7.22
835,Pepe,2016/2017,Real Madrid,Europe-UEFA-Champions-League,UCL,3,199,-,-,-,-,6.71
836,Pepe,2015/2016,Real Madrid,Spain-La-Liga,SLL,21,1887,1,-,1,-,7.27
837,Pepe,2015/2016,Real Madrid,Europe-UEFA-Champions-League,UCL,9,728,-,-,-,-,7.12
838,Pepe,2014/2015,Real Madrid,Spain-La-Liga,SLL,27,2225,2,-,2,-,7.2
839,Pepe,2014/2015,Real Madrid,Europe-UEFA-Champions-League,UCL,6,540,-,-,-,-,7.5
840,Pepe,2016,Portugal,International-European-Championship,UEC,6,540,-,-,-,-,6.84
841,Pepe,2013/2014,Real Madrid,Spain-La-Liga,SLL,30,2700,4,2,2,-,7.42
842,Pepe,2013/2014,Real Madrid,Europe-UEFA-Champions-League,UCL,11,973,-,-,-,-,7.53
843,Pepe,2014,Portugal,International-FIFA-World-Cup,WC,2,127,-,-,-,-,6.16
844,Pepe,2012/2013,Real Madrid,Spain-La-Liga,SLL,28,2345,1,-,1,-,7.04
845,Pepe,2012/2013,Real Madrid,Europe-UEFA-Champions-League,UCL,11,726,1,1,-,-,6.51
846,Pepe,2012,Portugal,International-European-Championship,UEC,5,450,1,-,1,-,7.39
847,Pepe,2011/2012,Real Madrid,Spain-La-Liga,SLL,29,2550,1,-,1,-,7.21
848,Pepe,2011/2012,Real Madrid,Europe-UEFA-Champions-League,UCL,9,810,-,-,-,-,7.11
849,Pepe,2010/2011,Real Madrid,Spain-La-Liga,SLL,26,2225,1,-,-,1,7.32
850,Pepe,2010/2011,Real Madrid,Europe-UEFA-Champions-League,UCL,8,681,-,-,-,-,6.89
851,Pepe,2009/2010,Real Madrid,Spain-La-Liga,SLL,10,856,1,-,1,-,7.47
852,Pepe,2009/2010,Real Madrid,Europe-UEFA-Champions-League,UCL,6,540,-,-,-,-,7.29
853,Michael Krohn-Dehli,2017/2018,Deportivo La ..,Spain-La-Liga,SLL,11,734,-,-,-,-,6.24
854,Michael Krohn-Dehli,2017/2018,Sevilla,Spain-La-Liga,SLL,13,533,1,-,-,1,6.46
855,Michael Krohn-Dehli,2017/2018,Sevilla,Europe-UEFA-Champions-League,UCL,3,140,-,-,-,-,6.25
856,Michael Krohn-Dehli,2016/2017,Sevilla,Spain-La-Liga,SLL,2,172,-,-,-,-,6.61
857,Michael Krohn-Dehli,2015/2016,Sevilla,Spain-La-Liga,SLL,27,1658,1,-,1,-,6.7
858,Michael Krohn-Dehli,2015/2016,Sevilla,Europe-UEFA-Europa-League,UEL,7,382,-,-,-,-,6.69
859,Michael Krohn-Dehli,2015/2016,Sevilla,Europe-UEFA-Champions-League,UCL,6,259,-,-,-,-,6.52
860,Michael Krohn-Dehli,2014/2015,Celta Vigo,Spain-La-Liga,SLL,36,3105,1,-,1,-,6.93
861,Michael Krohn-Dehli,2013/2014,Celta Vigo,Spain-La-Liga,SLL,31,1949,-,-,-,-,6.68
862,Michael Krohn-Dehli,2012/2013,Celta Vigo,Spain-La-Liga,SLL,34,2823,1,-,1,-,6.7
863,Michael Krohn-Dehli,2012,Denmark,International-European-Championship,UEC,3,270,2,-,2,-,7.49
864,Kári Árnason,2016,Malmoe FF,Sweden-Allsvenskan,SA,23,2019,1,1,-,-,7.38
865,Kári Árnason,2015/2016,Malmoe FF,Europe-UEFA-Champions-League,UCL,5,449,-,-,-,-,5.91
866,Kári Árnason,2014/2015,Rotherham,England-Championship,EC,43,3793,3,1,2,-,7.16
867,Kári Árnason,2016,Iceland,International-European-Championship,UEC,5,406,-,-,-,-,6.87
868,Ólafur Ingi Skúlason,2017/2018,Karabukspor,Turkey-Super-Lig,TS,16,1128,1,-,1,-,6.28
869,Ólafur Ingi Skúlason,2016/2017,Karabukspor,Turkey-Super-Lig,TS,25,1650,2,1,1,-,6.4
870,Ólafur Ingi Skúlason,2015/2016,Genclerbirlig..,Turkey-Super-Lig,TS,25,1882,-,-,-,-,6.65
871,Ólafur Ingi Skúlason,2013/2014,Zulte-Waregem,Europe-UEFA-Europa-League,UEL,4,350,-,-,-,-,6.41
872,Eiji Kawashima,2017/2018,Metz,France-Ligue-1,FL1,29,2570,-,-,-,-,6.61
873,Eiji Kawashima,2016/2017,Metz,France-Ligue-1,FL1,5,450,-,-,-,-,7.03
874,Eiji Kawashima,2014/2015,Standard Lieg..,Europe-UEFA-Europa-League,UEL,3,270,-,-,-,-,6.56
875,Eiji Kawashima,2013/2014,Standard Lieg..,Europe-UEFA-Europa-League,UEL,3,270,-,-,-,-,6.56
876,Eiji Kawashima,2014,Japan,International-FIFA-World-Cup,WC,3,270,-,-,-,-,6.58
877,Eiji Kawashima,2013,Japan,International-Confederations-Cup,ICC,3,270,-,-,-,-,7.13
878,Andrés Iniesta,2017/2018,Barcelona,Spain-La-Liga,SLL,30,1843,1,-,1,-,6.91
879,Andrés Iniesta,2017/2018,Barcelona,Europe-UEFA-Champions-League,UCL,8,624,-,-,-,-,7.15
880,Andrés Iniesta,2016/2017,Barcelona,Spain-La-Liga,SLL,23,1332,-,-,-,-,6.93
881,Andrés Iniesta,2016/2017,Barcelona,Europe-UEFA-Champions-League,UCL,8,594,1,-,1,-,6.92
882,Andrés Iniesta,2015/2016,Barcelona,Spain-La-Liga,SLL,28,2248,1,-,1,-,7.24
883,Andrés Iniesta,2015/2016,Barcelona,Europe-UEFA-Champions-League,UCL,7,553,-,-,-,-,7.12
884,Andrés Iniesta,2014/2015,Barcelona,Spain-La-Liga,SLL,24,1590,-,-,-,-,6.96
885,Andrés Iniesta,2014/2015,Barcelona,Europe-UEFA-Champions-League,UCL,11,787,-,-,-,-,7.34
886,Andrés Iniesta,2016,Spain,International-European-Championship,UEC,4,360,-,-,-,-,7.35
887,Andrés Iniesta,2013/2014,Barcelona,Spain-La-Liga,SLL,35,2487,3,-,2,1,7.34
888,Andrés Iniesta,2013/2014,Barcelona,Europe-UEFA-Champions-League,UCL,9,779,-,-,-,-,7.66
889,Andrés Iniesta,2014,Spain,International-FIFA-World-Cup,WC,3,270,-,-,-,-,7.15
890,Andrés Iniesta,2013,Spain,International-Confederations-Cup,ICC,5,374,-,-,-,-,7.44
891,Andrés Iniesta,2012/2013,Barcelona,Spain-La-Liga,SLL,31,2096,3,-,2,1,7.41
892,Andrés Iniesta,2012/2013,Barcelona,Europe-UEFA-Champions-League,UCL,10,804,1,-,1,-,7.26
893,Andrés Iniesta,2012,Spain,International-European-Championship,UEC,6,521,-,-,-,-,7.27
894,Andrés Iniesta,2011/2012,Barcelona,Spain-La-Liga,SLL,27,1867,2,-,2,-,7.43
895,Andrés Iniesta,2011/2012,Barcelona,Europe-UEFA-Champions-League,UCL,8,575,3,-,3,-,7.18
896,Andrés Iniesta,2010/2011,Barcelona,Spain-La-Liga,SLL,34,2799,8,1,4,3,7.72
897,Andrés Iniesta,2010/2011,Barcelona,Europe-UEFA-Champions-League,UCL,10,899,1,-,1,-,7.85
898,Andrés Iniesta,2009/2010,Barcelona,Spain-La-Liga,SLL,29,1928,1,-,1,-,7.33
899,Andrés Iniesta,2009/2010,Barcelona,Europe-UEFA-Champions-League,UCL,8,504,-,-,-,-,6.94
900,Javier Mascherano,2018,Hebei CFFC,China-Super-league,CSl,10,900,-,-,-,-,7.03
901,Javier Mascherano,2017/2018,Barcelona,Spain-La-Liga,SLL,7,541,-,-,-,-,7.18
902,Javier Mascherano,2017/2018,Barcelona,Europe-UEFA-Champions-League,UCL,2,135,-,-,-,-,6.6
903,Javier Mascherano,2016/2017,Barcelona,Spain-La-Liga,SLL,25,1917,1,-,1,-,6.83
904,Javier Mascherano,2016/2017,Barcelona,Europe-UEFA-Champions-League,UCL,8,642,-,-,-,-,7.17
905,Javier Mascherano,2015/2016,Barcelona,Spain-La-Liga,SLL,32,2694,-,-,-,-,7.01
906,Javier Mascherano,2015/2016,Barcelona,Europe-UEFA-Champions-League,UCL,8,655,-,-,-,-,7.18
907,Javier Mascherano,2015,Argentina,International-Copa-America,ICA,6,527,-,-,-,-,6.85
908,Javier Mascherano,2014/2015,Barcelona,Spain-La-Liga,SLL,28,2208,-,-,-,-,7.12
909,Javier Mascherano,2014/2015,Barcelona,Europe-UEFA-Champions-League,UCL,12,1079,-,-,-,-,7.14
910,Javier Mascherano,2013/2014,Barcelona,Spain-La-Liga,SLL,28,2367,-,-,-,-,7.14
911,Javier Mascherano,2013/2014,Barcelona,Europe-UEFA-Champions-League,UCL,9,810,-,-,-,-,7.15
912,Javier Mascherano,2014,Argentina,International-FIFA-World-Cup,WC,7,630,-,-,-,-,7.42
913,Javier Mascherano,2012/2013,Barcelona,Spain-La-Liga,SLL,25,1931,-,-,-,-,6.84
914,Javier Mascherano,2012/2013,Barcelona,Europe-UEFA-Champions-League,UCL,8,613,-,-,-,-,6.98
915,Javier Mascherano,2011/2012,Barcelona,Spain-La-Liga,SLL,31,2738,-,-,-,-,7.42
916,Javier Mascherano,2011/2012,Barcelona,Europe-UEFA-Champions-League,UCL,10,900,-,-,-,-,7.06
917,Javier Mascherano,2010/2011,Barcelona,Spain-La-Liga,SLL,27,1538,-,-,-,-,6.96
918,Javier Mascherano,2010/2011,Barcelona,Europe-UEFA-Champions-League,UCL,11,880,-,-,-,-,7.3
919,Javier Mascherano,2010/2011,Liverpool,England-Premier-League,EPL,1,79,-,-,-,-,8.01
920,Javier Mascherano,2009/2010,Liverpool,Europe-UEFA-Champions-League,UCL,5,358,-,-,-,-,7.43
921,Javier Mascherano,2009/2010,Liverpool,England-Premier-League,EPL,34,2756,-,-,-,-,7.26
922,José Fonte,2018,Dalian Yifang,China-Super-league,CSl,7,621,-,-,-,-,6.58
923,José Fonte,2017/2018,West Ham,England-Premier-League,EPL,8,690,-,-,-,-,6.89
924,José Fonte,2016/2017,Southampton,England-Premier-League,EPL,17,1530,-,-,-,-,6.81
925,José Fonte,2016/2017,West Ham,England-Premier-League,EPL,16,1405,-,-,-,-,6.87
926,José Fonte,2015/2016,Southampton,England-Premier-League,EPL,37,3169,2,2,-,-,7.03
927,José Fonte,2014/2015,Southampton,England-Premier-League,EPL,37,3330,-,-,-,-,7.2
928,José Fonte,2016,Portugal,International-European-Championship,UEC,4,360,-,-,-,-,6.78
929,José Fonte,2013/2014,Southampton,England-Premier-League,EPL,36,3181,3,2,1,-,7.21
930,José Fonte,2012/2013,Southampton,England-Premier-League,EPL,27,2312,2,1,1,-,6.9
931,Vladimir Gabulov,2017/2018,Arsenal Tula,Russia-Premier-League,RPL,20,1800,-,-,-,-,6.3
932,Vladimir Gabulov,2016/2017,Arsenal Tula,Russia-Premier-League,RPL,13,1126,-,-,-,-,6.48
933,Vladimir Gabulov,2015/2016,Dinamo Moscow,Russia-Premier-League,RPL,23,2070,-,-,-,-,6.29
934,Vladimir Gabulov,2014/2015,Dinamo Moscow,Europe-UEFA-Europa-League,UEL,9,810,-,-,-,-,7.0
935,Vladimir Gabulov,2014/2015,Dinamo Moscow,Russia-Premier-League,RPL,22,1980,-,-,-,-,6.72
936,Vladimir Gabulov,2013/2014,Anzhi Makhach..,Russia-Premier-League,RPL,5,450,-,-,-,-,6.34
937,Vladimir Gabulov,2013/2014,Dinamo Moscow,Russia-Premier-League,RPL,19,1710,-,-,-,-,6.41
938,Vladimir Gabulov,2012/2013,Anzhi Makhach..,Europe-UEFA-Europa-League,UEL,9,810,-,-,-,-,6.86
939,Vladimir Gabulov,2011/2012,CSKA Moscow,Europe-UEFA-Champions-League,UCL,6,540,-,-,-,-,7.45
940,Yuri Zhirkov,2017/2018,Zenit St. Pet..,Europe-UEFA-Europa-League,UEL,4,216,-,-,-,-,6.65
941,Yuri Zhirkov,2017/2018,Zenit St. Pet..,Russia-Premier-League,RPL,17,964,1,1,-,-,6.62
942,Yuri Zhirkov,2016/2017,Zenit St. Pet..,Russia-Premier-League,RPL,21,1687,1,-,1,-,7.04
943,Yuri Zhirkov,2016/2017,Zenit St. Pet..,Europe-UEFA-Europa-League,UEL,6,436,-,-,-,-,6.79
944,Yuri Zhirkov,2015/2016,Zenit St. Pet..,Russia-Premier-League,RPL,9,616,-,-,-,-,6.83
945,Yuri Zhirkov,2015/2016,Dinamo Moscow,Russia-Premier-League,RPL,16,1359,-,-,-,-,6.8
946,Yuri Zhirkov,2015/2016,Zenit St. Pet..,Europe-UEFA-Champions-League,UCL,2,99,-,-,-,-,6.64
947,Yuri Zhirkov,2014/2015,Dinamo Moscow,Europe-UEFA-Europa-League,UEL,8,438,2,-,2,-,6.87
948,Yuri Zhirkov,2014/2015,Dinamo Moscow,Russia-Premier-League,RPL,24,1915,-,-,-,-,6.84
949,Yuri Zhirkov,2013/2014,Dinamo Moscow,Russia-Premier-League,RPL,13,757,3,1,2,-,7.09
950,Yuri Zhirkov,2014,Russia,International-FIFA-World-Cup,WC,1,71,-,-,-,-,5.84
951,Yuri Zhirkov,2012/2013,Anzhi Makhach..,Europe-UEFA-Europa-League,UEL,8,703,-,-,-,-,7.33
952,Yuri Zhirkov,2012,Russia,International-European-Championship,UEC,3,270,-,-,-,-,7.06
953,Yuri Zhirkov,2010/2011,Chelsea,Europe-UEFA-Champions-League,UCL,7,493,1,-,-,1,7.41
954,Yuri Zhirkov,2010/2011,Chelsea,England-Premier-League,EPL,12,606,-,-,-,-,6.77
955,Yuri Zhirkov,2009/2010,Chelsea,Europe-UEFA-Champions-League,UCL,4,272,-,-,-,-,7.01
956,Yuri Zhirkov,2009/2010,Chelsea,England-Premier-League,EPL,17,954,-,-,-,-,7.04
957,Pejman Montazeri,2014,Iran,,WC,3,270,-,-,-,-,6.58
958,Masoud Shojaei,2017/2018,AEK Athens,Europe-UEFA-Europa-League,UEL,1,90,-,-,-,-,7.02
959,Masoud Shojaei,2014,Iran,International-FIFA-World-Cup,WC,3,124,-,-,-,-,6.34
960,Masoud Shojaei,2012/2013,Osasuna,Spain-La-Liga,SLL,14,375,1,-,-,1,6.27
961,Masoud Shojaei,2010/2011,Osasuna,Spain-La-Liga,SLL,18,1202,2,-,2,-,7.12
962,Masoud Shojaei,2009/2010,Osasuna,Spain-La-Liga,SLL,36,1674,2,1,1,-,6.51
963,Ricardo Quaresma,2017/2018,Besiktas,Turkey-Super-Lig,TS,26,2000,4,-,3,1,7.51
964,Ricardo Quaresma,2017/2018,Besiktas,Europe-UEFA-Champions-League,UCL,7,613,-,-,-,-,6.99
965,Ricardo Quaresma,2016/2017,Besiktas,Turkey-Super-Lig,TS,29,2285,2,-,2,-,7.29
966,Ricardo Quaresma,2016/2017,Besiktas,Europe-UEFA-Champions-League,UCL,6,520,3,-,2,1,6.88
967,Ricardo Quaresma,2016/2017,Besiktas,Europe-UEFA-Europa-League,UEL,5,413,-,-,-,-,7.08
968,Ricardo Quaresma,2015/2016,Besiktas,Turkey-Super-Lig,TS,26,1710,4,-,2,2,7.04
969,Ricardo Quaresma,2015/2016,Besiktas,Europe-UEFA-Europa-League,UEL,6,418,1,-,1,-,7.12
