,Player,Season,Team,Tournament-fullname,Tournament,Apps,Mins,Total_Aerial_Duels,Won,Lost,Rating,Total_Shots,OutOfBox,SixYardBox,PenaltyArea,Total_Goals,SixYardBox_Goals,PenaltyArea_Goals,OutOfBox_Goals,Unsuccessful,Successful,Total_Dribbles,UnsuccessfulTouches,Dispossessed,TotalTackles,DribbledPast,TotalAttemptedTackles,Total_Interceptions,Fouled,Fouls,Yellow,Red,CaughtOffside,Total_Clearances,ShotsBlocked,CrossesBlocked,PassesBlocked,Total_Saves,Saves_In_SixYardBox,Saves_In_PenaltyArea,Saves_From_OutOfBox,Total_Passes,AccLB,InAccLB,AccSP,InAccSP,Total_Key_Passes,Long,Short,Cross,Corner,Throughball,Freekick,Throwin,Other,Total_Assists
19,Danijel Subašic,2015/2016,Monaco,France-Ligue-1,FL1,36,3240,5,5,-,6.78,-,-,-,-,-,-,-,-,-,3,3,2,1,2,2,4,3,2,-,3,-,-,23,-,-,-,115,4,61,50,844,258,386,198,2,1,1,-,-,-,-,-,-,-,-
20,Danijel Subašic,2014/2015,Monaco,Europe-UEFA-Champions-League,UCL,10,900,3,3,-,7.07,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,29,3,16,10,281,95,153,33,-,-,-,-,-,-,-,-,-,-,-
21,Danijel Subašic,2014/2015,Monaco,France-Ligue-1,FL1,37,3330,5,5,-,6.76,-,-,-,-,-,-,-,-,-,1,1,1,-,1,-,1,2,4,2,4,-,-,22,-,1,-,81,1,46,34,902,261,394,245,2,-,-,-,-,-,-,-,-,-,-
22,Danijel Subašic,2016,Croatia,International-European-Championship,UEC,4,360,2,2,-,6.58,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,-,-,-,6,-,3,3,110,26,52,32,-,-,-,-,-,-,-,-,-,-,-
23,Danijel Subašic,2013/2014,Monaco,France-Ligue-1,FL1,35,3150,5,3,2,6.94,-,-,-,-,-,-,-,-,-,1,1,-,-,2,-,2,-,5,1,2,-,-,29,-,-,-,95,6,40,49,545,109,198,228,10,-,-,-,-,-,-,-,-,-,-
24,Sławomir Peszko,2014/2015,FC Cologne,Germany-Bundesliga,GB,18,1000,69,30,39,6.47,16,6,1,9,-,-,-,-,30,3,33,11,5,38,19,57,14,29,30,5,-,11,14,1,2,12,-,-,-,-,333,10,20,199,104,11,3,8,-,-,-,-,-,1,1
25,Sławomir Peszko,2016,Poland,International-European-Championship,UEC,2,5,1,-,1,6.0,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,-,1,1,-,-,1,-,-,-,-,-,-,-,2,-,1,-,1,-,-,-,-,-,-,-,-,-,-
26,Sławomir Peszko,2011/2012,FC Cologne,Germany-Bundesliga,GB,32,2311,66,20,46,6.67,27,10,3,14,2,1,1,-,55,32,87,58,53,70,67,137,45,78,71,8,-,21,18,5,6,-,-,-,-,-,669,15,12,457,185,22,1,21,1,1,-,-,-,5,6
27,Sławomir Peszko,2010/2011,FC Cologne,Germany-Bundesliga,GB,11,766,7,1,6,6.93,15,7,1,7,-,-,-,-,14,17,31,15,11,14,9,23,14,22,23,3,-,3,4,-,3,-,-,-,-,-,212,7,4,151,50,11,1,10,-,-,-,-,-,5,5
28,Mario Mandžukic,2017/2018,Juventus,Italy-Serie-A,ISA,32,2327,132,80,52,7.01,50,10,11,29,5,-,5,-,7,12,19,40,32,36,21,57,25,33,23,3,1,13,37,3,5,17,-,-,-,-,948,29,22,690,207,25,1,24,-,-,-,-,-,3,3
29,Mario Mandžukic,2017/2018,Juventus,Europe-UEFA-Champions-League,UCL,6,457,33,17,16,7.37,15,-,7,8,4,3,1,-,-,1,1,5,5,8,3,11,4,9,11,2,-,2,7,-,1,4,-,-,-,-,155,5,6,99,45,2,-,2,-,-,-,-,-,-,-
30,Mario Mandžukic,2016/2017,Juventus,Italy-Serie-A,ISA,34,2488,124,83,41,7.03,54,3,10,41,7,4,3,-,9,15,24,45,31,36,19,55,26,43,43,5,-,12,29,6,3,20,-,-,-,-,873,33,20,603,217,36,1,35,-,-,-,-,-,4,4
31,Mario Mandžukic,2016/2017,Juventus,Europe-UEFA-Champions-League,UCL,11,914,48,38,10,7.29,19,4,1,14,3,1,2,-,6,3,9,13,12,19,7,26,9,17,13,3,-,4,21,2,5,5,-,-,-,-,308,5,7,205,91,11,1,10,-,-,-,-,-,-,-
32,Mario Mandžukic,2015/2016,Juventus,Italy-Serie-A,ISA,27,2050,100,65,35,7.2,37,3,7,27,10,3,7,-,3,5,8,30,26,36,20,56,10,31,52,5,-,11,20,5,-,12,-,-,-,-,545,11,6,374,154,28,-,28,-,-,-,-,-,4,4
33,Mario Mandžukic,2015/2016,Juventus,Europe-UEFA-Champions-League,UCL,5,311,14,6,8,6.93,7,1,-,6,2,-,2,-,-,-,-,6,3,6,3,9,2,3,9,-,-,1,6,1,-,3,-,-,-,-,77,1,-,53,23,6,-,6,-,-,1,-,-,-,1
34,Mario Mandžukic,2014/2015,Atletico Madr..,Spain-La-Liga,SLL,28,1945,141,82,59,7.22,55,6,9,40,12,2,10,-,8,8,16,29,25,30,8,38,10,41,40,10,-,10,27,2,1,12,-,-,-,-,554,3,-,364,187,23,-,23,-,-,1,-,-,4,5
35,Mario Mandžukic,2014/2015,Atletico Madr..,Europe-UEFA-Champions-League,UCL,10,832,86,45,41,7.39,14,1,3,10,5,2,3,-,4,4,8,11,10,12,8,20,7,19,18,1,-,3,18,2,-,5,-,-,-,-,192,1,-,114,77,1,-,1,-,-,-,-,-,-,-
36,Mario Mandžukic,2016,Croatia,International-European-Championship,UEC,3,268,22,15,7,7.12,8,1,-,7,-,-,-,-,2,-,2,4,2,6,-,6,2,2,4,-,-,1,3,1,-,2,-,-,-,-,82,4,1,54,23,2,-,2,-,-,-,-,-,-,-
37,Mario Mandžukic,2013/2014,Bayern Munich,Europe-UEFA-Champions-League,UCL,10,652,60,29,31,7.12,22,-,4,18,3,1,2,-,5,4,9,7,5,9,4,13,7,12,8,2,-,6,4,-,-,3,-,-,-,-,186,3,3,132,48,10,-,10,-,-,-,-,-,2,2
38,Mario Mandžukic,2013/2014,Bayern Munich,Germany-Bundesliga,GB,30,2028,184,89,95,7.5,76,2,9,65,18,4,14,-,10,20,30,26,32,18,27,45,5,39,48,5,-,8,12,1,-,13,-,-,-,-,531,8,3,378,142,30,1,29,-,-,-,-,-,4,4
39,Mario Mandžukic,2014,Croatia,International-FIFA-World-Cup,WC,2,180,20,11,9,7.8,4,1,1,2,2,1,1,-,-,-,-,2,1,1,1,2,-,3,3,-,-,3,-,-,-,-,-,-,-,-,37,-,-,25,12,3,-,3,-,-,-,-,-,-,-
40,Mario Mandžukic,2012/2013,Bayern Munich,Germany-Bundesliga,GB,24,1744,100,57,43,7.49,67,5,9,53,15,3,12,-,13,15,28,23,21,11,14,25,16,31,48,2,-,15,13,-,1,-,-,-,-,-,470,9,3,324,134,19,1,18,1,-,-,-,-,-,1
41,Mario Mandžukic,2012/2013,Bayern Munich,Europe-UEFA-Champions-League,UCL,10,721,44,22,22,7.07,19,-,6,13,3,3,-,-,5,1,6,8,5,12,8,20,8,17,25,3,-,6,10,-,-,-,-,-,-,-,216,5,2,150,59,12,1,11,-,-,-,-,-,1,1
42,Mario Mandžukic,2012,Croatia,International-European-Championship,UEC,3,270,12,6,6,7.24,5,-,-,5,3,-,3,-,5,-,5,7,5,1,2,3,1,6,10,1,-,-,-,-,-,-,-,-,-,-,95,3,1,56,35,2,1,1,-,-,-,-,-,-,-
43,Mario Mandžukic,2011/2012,Wolfsburg,Germany-Bundesliga,GB,32,2723,185,107,78,7.53,101,23,15,63,12,6,6,-,34,45,79,58,79,40,37,77,29,86,97,4,-,13,37,4,1,-,-,-,-,-,952,20,21,572,339,51,6,45,2,-,-,-,-,6,8
44,Mario Mandžukic,2010/2011,Wolfsburg,Germany-Bundesliga,GB,24,1475,52,29,23,6.96,40,8,5,27,8,3,4,1,16,17,33,18,31,26,10,36,21,39,54,6,-,23,12,7,-,-,-,-,-,-,460,9,11,281,159,23,2,21,-,-,-,-,-,3,3
45,Nabil Dirar,2017/2018,Fenerbahce,Turkey-Super-Lig,TS,29,2278,100,39,61,7.13,30,18,2,10,4,1,2,1,16,49,65,58,53,40,24,64,27,27,71,4,-,1,17,5,5,35,-,-,-,-,1256,29,21,965,241,49,1,48,1,-,-,-,-,7,8
46,Nabil Dirar,2016/2017,Monaco,Europe-UEFA-Champions-League,UCL,7,235,10,5,5,6.54,-,-,-,-,-,-,-,-,4,13,17,2,5,10,2,12,1,2,5,1,-,-,3,-,4,5,-,-,-,-,129,1,10,98,20,4,1,3,-,-,-,-,-,-,-
47,Nabil Dirar,2016/2017,Monaco,France-Ligue-1,FL1,18,865,28,16,12,6.84,13,8,2,3,1,1,-,-,12,26,38,21,22,17,11,28,8,8,18,2,-,-,4,1,3,12,-,-,-,-,435,14,13,342,66,24,3,21,-,-,-,-,-,3,3
